                                             cinromide                                                                                                                                                               CCNC(=O)/C=C/c1cccc(Br)c1 1
                                 paramethasone-acetate                                                                                       CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                          Cyclopropane                                                                                                                                                                                   C1CC1 1
                                        acetophenazine                                                                                                                                          CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2 1
                                             yohimbine                                                                                                                   COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21 0
                                            ampicillin                                                                                                                          CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O 0
                                          nicodicodine                                                                                                                                     COc1ccc2c3c1OC1C(OC(=O)c4cccnc4)CCC4C(C2)N(C)CCC341 1
                                            butalbital                                                                                                                                                          C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O 1
                                         meclofenoxate                                                                                                                                                             CN(C)CCOC(=O)COc1ccc(Cl)cc1 1
                                              benmoxin                                                                                                                                                             CC(NNC(=O)c1ccccc1)c1ccccc1 1
                                            pyridarone                                                                                                                                                                c1ccc2oc(-c3ccncc3)cc2c1 1
                                       phendimetrazine                                                                                                                                                            C[C@H]1[C@H](c2ccccc2)OCCN1C 1
                                                 7-K06                                                                                                                                               CN1CC[C@@H]2c3cc(Cl)ccc3Oc3ccccc3[C@H]2C1 1
                                            alrestatin                                                                                                                                                      O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O 1
                                            mecillinam                                                                                                                                    CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O 0
                                           Ethionamide                                                                                                                                                                      CCc1cc(C(N)=S)ccn1 1
                                           oxyridazine                                                                                                                                                   COc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2 1
                                         clomethiazole                                                                                                                                                                            Cc1ncsc1CCCl 1
                                            teflutixol                                                                                                                                       OCCN1CCN(CCCC2c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                          eptastigmine                                                                                                                                       CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C 1
                                          penamecillin                                                                                                                                      CC(=O)OCOC(=O)C1N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1(C)C 0
                                           mirfentanil                                                                                                                                             O=C(c1ccco1)N(c1cnccn1)C1CCN(CCc2ccccc2)CC1 1
                                           pirarubicin                                                                           COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@H]2CCCCO2)[C@H](C)O1 0
                                       Foscarnetsodium                                                                                                                                              O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+] 1
                                 clobetasol-propionate                                                                                         CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                           fasoracetam                                                                                                                                                            O=C1CC[C@H](C(=O)N2CCCCC2)N1 1
                                           moxiraprine                                                                                                                                                 CC1=CC(=C2C=CC(=O)C=C2)NN=C1NCCN1CCOCC1 1
                                       toloxychlorinol                                                                                                                                         Cc1ccccc1OCC(COC(O)C(Cl)(Cl)Cl)OC(O)C(Cl)(Cl)Cl 1
                                          guamecycline                                                                                            CN(C)C1C(=O)/C(=C(/O)NCN2CCN(C(=N)N=C(N)N)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12 0
                                           sibutramine                                                                                                                                                      CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1 1
                                         phenprobamate                                                                                                                                                                      NC(=O)OCCCc1ccccc1 1
                                             GR94839_A                                                                                                                         CC(=O)N1CCN(C(=O)Cc2ccc(C(F)(F)F)cc2)[C@@H](CN2CC[C@@H](O)C2)C1 0
                                                    25                                                                                                                                                   O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1 1
                                           benztropine                                                                                                                                         CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.O=S(=O)(O)O 1
                                          acecarbromal                                                                                                                                                           CCC(Br)(CC)C(=O)NC(=O)NC(C)=O 1
                                            MIL-663581                                                                                                                                        CN1Cc2c(-c3noc(C(C)(C)O)n3)ncn2-c2cccc(Cl)c2C1=O 0
                                            rociclovir                                                                                                                                                     CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21 1
                                        chlorpropamide                                                                                                                                                         CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1 0
                                          ftormetazine                                                                                                                                        CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                          fosphenytoin                                                                                                                                            O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O 1
                                             deprodone                                                                                                                                         CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C 1
                                        chloralhydrate                                                                                                                                                                        OC(O)C(Cl)(Cl)Cl 1
                                           lamotrigine                                                                                                                                                           Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1 1
                                            rasagiline                                                                                                                                                                 C#CCN[C@@H]1CCc2ccccc21 1
                                            motrazepam                                                                                                                                         COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21 1
                                             Topotecan                                                                                                                            CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1 1
                               fludrocortisone-acetate                                                                                                   CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                            zoloperone                                                                                                                                        COc1ccccc1N1CCN(CCc2oc(=O)[nH]c2-c2ccc(F)cc2)CC1 1
                                             ocinaplon                                                                                                                                                   O=C(c1ccccn1)c1cnn2c(-c3ccncc3)ccnc12 1
                                             clomacran                                                                                                                                                        CN(C)CCCC1c2ccccc2Nc2ccc(Cl)cc21 1
                                             puromycin                                                                                                            COc1ccc(C[C@H](N)C(=O)NC2[C@@H](CO)O[C@@H](n3cnc4c(N(C)C)ncnc43)[C@@H]2O)cc1 0
                                         Triamcinolone                                                                                                 C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO 0
                                           cinolazepam                                                                                                                                             N#CCCN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21 1
                                    homochlorcyclizine                                                                                                                                                     CN1CCCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1 1
                                                    35                                                                                                                                    CN1Cc2c(-c3noc([C@](C)(O)CO)n3)ncn2-c2cccc(Cl)c2C1=O 0
                                            piflutixol                                                                                                                                    OCCC1CCN(CC/C=C2\c3ccc(F)cc3Sc3ccc(C(F)(F)F)cc32)CC1 1
                                    phenelzine sulfate                                                                                                                                                                NNCCc1ccccc1.O=S(=O)(O)O 1
                                            Phenserine                                                                                                                                     CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12 1
                                       amylene-hydrate                                                                                                                                                                              CCC(C)(C)O 1
                                         diprenorphine                                                                                                         CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5 1
                                         aminophylline                                                                                                                              Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN 0
                       pentylenetetrazole(pentetrazol)                                                                                                                                                                          C1CCc2nnnn2CC1 1
                                     Dihydroergotamine                                                                            CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21 0
                                            Ketoprofen                                                                                                                                                       CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1 1
                        mometasone(mometasone-furoate)                                                                                               C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl 1
                                              procaine                                                                                                                                                              CCN(CC)CCOC(=O)c1ccc(N)cc1 1
                                            budesonide                                                                                               CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1 1
                                    diacetylnalorphine                                                                                                                                     C=CCN1CCC23c4c5ccc(OC(C)=O)c4OC2C(OC(C)=O)C=CC3C1C5 1
                                           propyperone                                                                                                                                          CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                           Terconazole                                                                                                                     CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1 0
                                             etorphine                                                                                                                                   CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5 1
                                            drotebanol                                                                                                                               COc1ccc2c(c1OC)[C@]13CCN(C)[C@H](C2)[C@]1(O)CC[C@@H](O)C3 1
                                          nitrocycline                                                                                         CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc([N+](=O)[O-])c4C[C@H]3C[C@@H]12 0
                                             depramine                                                                                                                                                          CN(C)CCCN1c2ccccc2C=Cc2ccccc21 1
                               thozalinone(tozalinone)                                                                                                                                                             CN(C)C1=NC(=O)C(c2ccccc2)O1 1
                                      carbamazepine-10                                                                                                                                                          NC(=O)N1c2ccccc2C2OC2c2ccccc21 1
                                             picenadol                                                                                                                                                    CCC[C@]1(c2cccc(O)c2)CCN(C)C[C@@H]1C 1
                                             zorubicin                                                             COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(/C(C)=N/NC(=O)c1ccccc1)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.[Cl-].[H+] 0
                                           aldosterone                                                                                                         C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12 0
                                          tetrabenzine                                                                                                                                                  COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2 1
                                             indalpine                                                                                                                                                            c1ccc2c(CCC3CCNCC3)c[nH]c2c1 1
                                            Auxeomycin                                                                              CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl-].[H+] 0
                                             pargyline                                                                                                                                                                       C#CCN(C)Cc1ccccc1 1
                                                 skb_a                                                                                                                                     CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1 1
                                              albutoin                                                                                                                                                               C=CCN1C(=O)C(CC(C)C)NC1=S 1
                                              tybamate                                                                                                                                                           CCCCNC(=O)OCC(C)(CCC)COC(N)=O 1
                                         alphamethadol                                                                                                                                         CC[C@@H](O)C(C[C@@H](C)N(C)C)(c1ccccc1)c1ccccc1 1
                                             pagoclone                                                                                                                                        CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1 1
                                          perphenazine                                                                                                                                                OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1 1
                                           Dacarbazine                                                                                                                                                               CN(C)N/N=C1/N=CN=C1C(N)=O 1
                                             tandamine                                                                                                                                                       CCn1c2c(c3ccccc31)CCSC2(C)CCN(C)C 1
                                             dexclamol                                                                                                                                 CC(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1 1
                                            toloxatone                                                                                                                                                                Cc1cccc(N2CC(CO)OC2=O)c1 1
                                            mebutamate                                                                                                                                                            CCC(C)C(C)(COC(N)=O)COC(N)=O 1
                                            cefodizime                                                                                                      CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CS[C@H]12)c1csc(N)n1 0
                                          cryofluorane                                                                                                                                                                      FC(F)(Cl)C(F)(F)Cl 1
                                            novobiocin                                                                                     CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(O)oc3c2C)OC1(C)C 0
                                             nerisopam                                                                                                                                                 COc1cc2c(cc1OC)C(c1ccc(N)cc1)=NN=C(C)C2 1
                                           bremazocine                                                                                                                                        CC[C@]12CCN(CC3(O)CC3)[C@H](Cc3ccc(O)cc31)C2(C)C 1
                                         amitriptyline                                                                                                                                                          CN(C)CCC=C1c2ccccc2CCc2ccccc21 1
                                           quinacillin                                                                                                                      CC1(C)S[C@@H]2[C@H](NC(=O)c3nc4ccccc4nc3C(=O)O)C(=O)N2[C@H]1C(=O)O 0
                                            dabelotine                                                                                                                                                             CN1CCCc2cccc(OCC3CNCCO3)c21 1
                                            ornidazole                                                                                                                                                          Cc1ncc([N+](=O)[O-])n1CC(O)CCl 1
                                             bemegride                                                                                                                                                                   CCC1(C)CC(=O)NC(=O)C1 1
                                           cyclazodone                                                                                                                                                              O=C1N=C(NC2CC2)OC1c1ccccc1 1
                                              zotepine                                                                                                                                                      CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21 1
                                           befloxatone                                                                                                                                      COC[C@H]1CN(c2ccc(OCC[C@@H](O)C(F)(F)F)cc2)C(=O)O1 1
                                           acetorphine                                                                                                                 CCC[C@@](C)(O)[C@H]1CC23C=CC1(OC)[C@H]1Oc4c(OC(C)=O)ccc5c4C12CCN(C)C3C5 1
                                             zolazepam                                                                                                                                                     Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C 1
                                            nalbuphine                                                                                                                                          Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314 1
                                          cefoperazone                                                                                         CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O 1
                                           cannabidiol                                                                                                                                              C=C(C)[C@@H]1CCC(C)=CC1c1c(O)cc(CCCCC)cc1O 1
                                            cefedrolor                                                                                                                      CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)c(Cl)c3)[C@H]2SC1 0
                                           perafensine                                                                                                                                                     c1ccc(-c2nc(N3CCNCC3)cc3ccccc23)cc1 1
                                            milacemide                                                                                                                                                                           CCCCCNCC(N)=O 1
                               fluorometholone-acetate                                                                                             CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                            apicycline                                                                       CN(C)[C@@H]1C(=O)/C(=C(/O)NC(C(=O)O)N2CCN(CCO)CC2)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12 0
                                                     4                                                                                                                                    CN(C)Cc1ccc(CSCCNc2nc(=O)c(Cc3ccc4ccccc4c3)c[nH]2)o1 0
                                            almecillin                                                                                                                                        C=CCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[Na+] 0
                                            fletazepam                                                                                                                                                Fc1ccccc1C1=NCCN(CC(F)(F)F)c2ccc(Cl)cc21 1
                                            Gabapentin                                                                                                                                                                     NCC1(CC(=O)O)CCCCC1 1
                                           aclarubicin                                                                CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC 0
                                        troleandomycin CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O 0
                                             bromoform                                                                                                                                                                               BrC(Br)Br 1
                                            anisopirol                                                                                                                                                  COc1ccccc1N1CCN(CCCC(O)c2ccc(F)cc2)CC1 1
                                        Hydrocortisone                                                                                                             C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO 0
                                             lorzafone                                                                                                                                         CN(C(=O)CNC(=O)CN)c1ccc(Cl)cc1C(=O)c1ccccc1Cl.O 1
                                          Pyrazinamide                                                                                                                                                                          NC(=O)c1cnccn1 1
                                            temocillin                                                                                                                   CO[C@@]1(NC(=O)C(C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21 0
                                          carpipramine                                                                                                                                      NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1 1
                                          prothipendyl                                                                                                                                                            CN(C)CCCN1c2ccccc2Sc2cccnc21 1
                                            tacrolimus                 C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC 0
