Drug 4523                                                                                                                         Cc1ccc([N+](=O)[O-])c2ccccc12 1
Drug 6876                                                                                  CC(=O)C1(O)C=C(OC2CC(N)C(O)C(C)O2)c2c(c(O)c3c(O)c4ccccc4c(O)c3c2O)C1 1
Drug 1931                                                                                                                            O=[N+]([O-])c1cnc(CO)n1CCO 1
Drug 4209                                                                                                                                O=[N+]([O-])c1ccccc1Br 1
Drug 2185                                                                                                 CCN(CC)c1cc(NC(C)=O)c(N=Nc2ccc([N+](=O)[O-])cc2)cc1OC 1
Drug 6013                                                                                                                                           CCCCN(C)N=O 1
  Drug 64                                                                                                                                        O=C(O)c1ccccc1 0
Drug 5188                                                                                                                                COC12OOC1(C)Oc1ccccc12 1
Drug 2737                                                                                                                                      COc1cccc(C=O)c1O 0
Drug 4743                                                                                                             N=C(N)c1ccc(-c2cc3ccc(C(=N)N)cc3[nH]2)cc1 0
Drug 1476                                                                                                                   O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 4777                                                           COC(=O)C12Oc3ccc(-c4ccc5c(c4O)C(O)=C4C(=O)CC(C)C(O)C4(C(=O)OC)O5)c(O)c3C(O)=C1C(=O)CC(C)C2O 0
Drug 6063                                                                                                                O=[N+]([O-])c1cccc2c1ncc1cnc3ccccc3c12 1
Drug 2418                                                                                                                                     OC1C=Cc2ncccc2C1O 0
Drug 5034                                                                                                                                  CC(=O)NNc1ccc(CO)cc1 1
Drug 6745                                                                                                               O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccc(Cl)cc1 1
Drug 3698                                                                                                                              CCn1c2ccccc2c2cc(N)ccc21 1
Drug 1784                                                                                                                   Cc1ccc2c(c1)C1C(=N2)N(C)c2ccccc2C1C 1
Drug 6452                                                                                                                                 CCCCN(N=O)C(=N)NN(O)O 1
Drug 6199                                                                                                                        COc1ccc(N=Nc2ccc(N(C)C)cc2)cn1 1
Drug 6103                                                                                                         O=Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1 1
Drug 1850                                                                                                                              Cc1ccc2cc3ccccc3c(C)c2c1 1
  Drug 40                                                                                                                            Oc1ccc2ccccc2c1N=Nc1ccccc1 1
Drug 4083                                                                                                           NC[C@H]1CC[C@H](C(=O)c2ccc(CCC(=O)O)cc2)CC1 0
Drug 6794                                                                                                            COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4 1
Drug 5661                                                                                                                     O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1 0
Drug 6330                                                                                                                         Cc1ccc(C(=O)O)cc1[N+](=O)[O-] 1
Drug 4316                                                                                                                                      CCN=[N+]([O-])CC 0
Drug 4748                                                                                           CC(=O)OC1(C(C)=O)CCC2C3C4CC4(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C 0
 Drug 293                                                                                                                                                 COCCO 0
Drug 6711                                                                                                           O=NN(c1ccc([N+](=O)[O-])cc1)C1OCC(O)C(O)C1O 1
Drug 3526                                                                                                                                         Nc1cccc(Cl)c1 0
 Drug 952                                                                                                                                           O=C(CCl)CCl 1
Drug 5986                                                                                         CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C 0
  Drug 74                                                                                                                                 Oc1ccc(Cc2ccccc2O)cc1 0
Drug 1891                                                                                                                           Nc1ccc(-c2ccc(N)c(N)c2)cc1N 1
Drug 2363                                                                                                         COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)C1CCOC1O4 0
Drug 5183                                                                                                                                     CC(C)[N+](=O)[O-] 1
  Drug 97                                                                                                   Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1 0
 Drug 494                                                                                                                        O=C1N(CO)[C@H](O)[C@@H](O)N1CO 1
Drug 5138                                                              Cc1c([N+](=O)[O-])cc(N=[N+]([O-])c2cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c2)cc1[N+](=O)[O-] 1
Drug 7522                                                                                                                                       O=NN1CCCC(Cl)C1 1
Drug 7524                                                                                                                 OC1c2c(cc3ccc4cccc5ccc2c3c45)C2OC2C1O 1
Drug 5019                                                                                                                                        Nc1cc(Cl)ccc1O 1
 Drug 127                                                                                                                                  O=Nc1ccccc1-c1ccccc1 1
Drug 7068                                                                                     COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1 0
Drug 3229                                                                                                                                   c1ccc([C@H]2CO2)cc1 1
Drug 5084                                                                                  CS(=O)(=O)Nc1ccc(Nc2c3ccc(N=[N+]=[N-])cc3nc3cc(N=[N+]=[N-])ccc23)cc1 1
Drug 3686                                                                                                                                         CC(=O)c1ccco1 1
Drug 5724                                                                                                                                  CCNc1nc(Cl)nc(NCC)n1 0
Drug 4818                                                                                                         CCCCCCCCCc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1 0
Drug 7551                                                                                                                            O=C(O)C1(O)CC(O)C(O)C(O)C1 0
Drug 5926                                                                                                                     O=C1OC(=O)c2cc([N+](=O)[O-])ccc21 1
Drug 2923                                                                                                                                    NCCNc1cccc2ccccc12 1
Drug 3214                                                                                                                              NC(CCS/C(Cl)=C/Cl)C(=O)O 1
Drug 4885                                                                                                           c1ccc2c(c1)-c1c(ccc3ccccc13)[C@@H]1N[C@H]21 1
 Drug 864                                                                                                                            [O-][Cl+3]([O-])([O-])[O-] 0
Drug 3843                                                                                                                                 O=C(O)/C=C/C=C/C(=O)O 0
 Drug 462                                                                                                                   OC1C=Cc2c(cc3c(ccc4ccccc43)c2Br)C1O 0
Drug 4086                                                                                                                                             ClCCSCCCl 1
 Drug 249                                                                                      C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC 0
Drug 2660                                                                                                                                       O=C1CC2SCC=CN12 0
Drug 2994                                                                                                                        CC(=O)OCc1cccc([N+](=O)[O-])c1 0
  Drug 18                                                                                                                               NC(=O)Nc1nc2ccccc2[nH]1 1
Drug 3822                                                                                               O=[N+]([O-])c1cc2c(ccc3ccccc32)c2c1C=C[C@@H](O)[C@@H]2O 1
Drug 5528                                                                                                              COC1=CC(=O)C=C/C1=N\c1c2ccccc2nc2ccccc12 0
Drug 4838                                                                                                                 COc1nc2cc([N+](=O)[O-])cc(CBr)c2nc1OC 1
Drug 7241                                                                                                                              O=C(O)C1=CC(O)C(O)C(O)C1 0
Drug 3890                                                                                                                            N[C@H](Cc1ccc(F)cc1)C(=O)O 0
Drug 7533                                                                                                        O=C1c2cc(O)cc(O)c2C(=O)c2c1cc1c(c2O)C2C=COC2O1 1
Drug 5586                                                                                                                                      CCCCCN(CCCCO)N=O 1
Drug 6366                                                                                                                                      C=CCc1ccc(OC)cc1 0
Drug 4570                                                                                                                               N/C(=N\O)c1ccc(O)c(O)c1 1
 Drug 991                                                                                                                                        CCCN(CCCCO)N=O 1
Drug 2193                                                                                                                                 Nc1cccc2nc3ccccc3nc12 1
Drug 5477                                                                                                                      [N-]=[N+]=NCCC(c1ccccc1)c1ccccc1 1
Drug 5160                                                                                                                                             C=CCNCC=C 0
Drug 3325                                                                                                                          Clc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 1590                                                                                                               O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr 1
Drug 1560                                                                                                                                          O=CNc1ccccc1 0
 Drug 271                                                                                                                 O=C(OCc1cccc([N+](=O)[O-])c1)c1ccccc1 0
Drug 2949                                                                                                                           Oc1cccc2c1ccc1c3ccccc3ccc21 1
  Drug 38                                                                                                                      c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1 1
Drug 3601                                                                                                                           CCN(C(=O)CCCl)c1snc2ccccc12 1
  Drug 82                                                                                               COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4 1
Drug 3877                                                                                                                                        O=Cc1ccc(O)cc1 0
Drug 4472                                                                                                                                                  NC=O 0
Drug 5569                                                                                                                                     Oc1[nH]nc2ccccc12 0
Drug 4029                                                                                                                              O=C1C=C(Cl)C(=O)C1(Cl)Cl 1
Drug 1584                                                                                                         N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1 1
Drug 1059                                                                                                                                    c1ccc(Cn2ccnc2)cc1 1
Drug 3218                                                                                                                                NCCc1c[nH]c2ccc(O)cc12 0
Drug 1083                                                                                                                        Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1I 0
 Drug 772                                                                                                                                          Cc1ccccc1N=O 1
Drug 6223                                                                                                                                      Cn1nc(C2CC2)cc1N 1
Drug 2590                                                                                                                   O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1 1
Drug 6166                                                                                                                                 CC(O)C(C)[N+](=O)[O-] 0
 Drug 780                                                                                                                       CCN(C(=O)N(CC)c1ccccc1)c1ccccc1 0
 Drug 665                                                                                                                                   CCCCOC(=O)c1ccccc1N 0
Drug 6628                                                                                                                   CC(=O)Nc1ccc(C(=O)C2OC2c2ccccc2)cc1 1
Drug 6055                                                                                                                         O=[N+]([O-])c1c(O)ccc2ccccc12 1
Drug 3079                                                                                                                    C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1 1
Drug 3579                                                                                                                                      Clc1nncc2ncccc12 0
Drug 3028                                                                                                                                            N#CC(Cl)Cl 1
 Drug 568                                                                                                                           CC/C=C/C=C/C=C/C=C/C=C/OCCC 1
Drug 3129                                                                                                                    Cc1cc2ccccc2c2cc3c(cc12)C=CC(O)C3O 1
Drug 5150                                                                                                                                 Fc1cc2cccnc2c2ncccc12 1
Drug 6220                                                                                                                          O=C1C(Cl)=C(Cl)C(=O)C1(Cl)Cl 0
Drug 6527                                                                                                                                O=C1OC(C(O)CO)C(O)=C1O 0
Drug 2318                                                                                          CC(=O)O[C@H]1[C@@]2(O)CC(C)(C)CC2=C(C=O)[C@@]2(C=O)C[C@@]12C 1
Drug 1006                                                                                                                                  CN[C@@H](C)Cc1ccccc1 0
Drug 3343                                                                                                                               COC(=O)C(CSCCBr)NC(C)=O 1
Drug 4273                                                                                                                                       OCC(CO)(CBr)CBr 1
Drug 5458                                                                                                                           Cc1cc2c(cc1C)C(C)c1ccccc1-2 1
Drug 2611                                                                                                                              [N-]=[N+]=NCC(O)c1ccccc1 1
Drug 2539                                                                                                              O=P(OCCC(Br)CBr)(OCCC(Br)CBr)OCCC(Br)CBr 0
 Drug 224                                                               COc1cc2c3c(c1)Oc1c(OC)c(OC)cc4c1[C@H](Cc1ccc(OC)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4 1
 Drug 630                                                                                                                                   Cc1nc2ccc(N)cc2nc1C 1
Drug 3112                                                                                                         CC1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23 0
Drug 7386                                                                                                   O=C1c2cccc(O)c2C(=O)c2c(OC3OC(CO)C(O)C(O)C3O)cccc21 1
Drug 4293                                                                                          CCCCCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 0
Drug 5553                                                                                                                                      c1ccc2c(c1)CCNC2 0
Drug 5947                                       CCCCCCCCCCCCCC(=O)O[C@@H]1[C@H](C)[C@]2(O)[C@@H](C=C(CO)C[C@@]3(O)C(=O)C(C)=C[C@H]32)[C@H]2C(C)(C)[C@]21OC(C)=O 0
 Drug 850                                                                                            CC(=O)OCC[C@@H](C=O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc(O)cc1C2=O 1
Drug 4968                                                                                                             Cn1c([N+](=O)[O-])cnc1[C@H]1NC(CO)(CO)CO1 1
Drug 3435                                                                                                                              O=[N+]([O-])c1ccc(Br)cc1 1
Drug 1675                                                                                                                                        OC(=S)c1ccccc1 0
Drug 1812                                                                                                                      CC(=O)N(O)c1ccc([N+](=O)[O-])cc1 1
Drug 1778                                                                                                                                        CCCCCCC(=O)OCC 0
Drug 1324                                                                                                                              Cc1cccn2c1nc1ccc(NO)nc12 1
 Drug 536                                                                                                                          CCCCCCCCCCCCCCCCCC1=NCCN1CCO 0
Drug 6808                                                                                                                                 O=C1N(CO)C(O)C(O)N1CO 1
Drug 1496                                                                                                             Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C 1
Drug 1386                                                                                                      O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1 1
 Drug 243                                                                                                                                CCCCCCCC/C=C\CCCCCCCCN 1
Drug 1680                                                                                                                   O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1 1
Drug 7206                                                                                                            CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O 0
Drug 1394                                                                                                                                  O=C1CCCCCCCCCCCCCCO1 0
 Drug 627                                                                                                                       Cc1cc2c3ccccc3cc3ccc4cccc1c4c32 1
Drug 1594                                                                                                                                              NC(=O)NO 1
Drug 4045                                          CC(C)CCC[C@@H](C)[C@@H]1CC[C@@H]2[C@@H]3CC4([C@@H]5C[C@@H](Br)CC[C@]5(C)[C@@H]3CC[C@]12C)S(=O)(=O)CCS4(=O)=O 1
Drug 2469                                                                                                      O=[N+]([O-])c1ccc(/C=N/c2snc3c(Cl)cc(Cl)cc23)cc1 1
Drug 4785                                                                                                                     CCC[C@](C)(COC(N)=O)COC(=O)NC(C)C 0
Drug 1060                                                                                                                                            CCC12OC1O2 1
Drug 5448                                                                                                                                        Cc1cccc(C)c1NO 1
Drug 6034                                                                                                                   CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C 0
Drug 1630                                                                                                                     O=[N+]([O-])c1cnc2c(c1)nc1ccccn12 1
Drug 5809                                                                                                                                CCOC(=O)c1cccc2cccnc12 0
Drug 5598                                                                                                                CC(C)CNC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
 Drug 929                                                                                                                            CC(=O)Nc1ccc(-c2ccccc2)cc1 1
Drug 2289                                                                                                                          Cc1ccc2c(=O)c3cccc4ccc1c2c43 1
Drug 5273                                                                                                                     Cc1c(C)c2c(N)c3ccccc3nc2c2ccccc12 1
Drug 4168                                                                                                                                          Cc1ccccc1C=O 0
Drug 1752                                                                                                               COC(=O)c1cc(Cc2ccc(N)c(C(=O)OC)c2)ccc1N 1
 Drug 918                                                                                                               COc1cc2oc(-c3ccc(O)cc3)c(O)c(=O)c2cc1OC 0
Drug 4870                                                                                  O=[N+]([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c1 1
 Drug 724                                                                                                                Cc1ccc(/N=C/c2cccc3cccnc23)c(C(=O)O)c1 0
Drug 3200                                                                                                                                  c1ccc2nc3ccccc3cc2c1 1
Drug 7334                                                                                                                        NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1 0
Drug 1921                                                                                                                                     CCOc1cccc2cccnc12 0
 Drug 155                                                                                                                              COc1nsc2cc(OCC3CO3)ccc12 1
Drug 4988                                                                                                                           Cc1c(Br)c(Br)c(Br)c(Br)c1Br 0
Drug 4310                                                                                                                       Cc1ccc(NCC2(O)OCC(O)C(O)C2O)cc1 0
Drug 2858                                                                                                                                       NNC(=O)c1ccncc1 1
Drug 4733                                                                                                                      CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1 1
Drug 2613                                                                                                                N#CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 6174                                                                                                                        CC(=O)Nc1ccc(Oc2ccc(NO)cc2)cc1 1
Drug 3974                                                                                              COc1cc([N+](=O)[O-])ccc1N=N[C@H](C(C)=O)C(=O)Nc1ccccc1OC 0
Drug 2990                                                                                                                                         COC(=O)C(C)Cl 1
Drug 2332                                                                                          O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21 1
Drug 4071                                                                                                                                        C[C@@H](Cl)CCl 1
Drug 3607                                                                                                                                   O=NN(CCCl)C(=O)NCCO 1
Drug 5530                                                                                                                      CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1 0
Drug 2496                                                                                                         Nc1ccc(-c2ccc(-c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1 0
Drug 2321                                                                                                                  O=C1c2ccccc2C([N+](=O)[O-])c2ccccc21 0
 Drug 182                                                                                                                     CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C 1
Drug 5422                                                                                                                                               c1cscn1 1
Drug 1058                                                                                                                                              BrCCCCBr 1
Drug 4728                                                                                                   Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2 0
Drug 1413                                                                                                                                         C/C(Cl)=C\C=O 1
Drug 6579                                                                                                               C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C 0
Drug 1140                                                                                              CCc1ccccc1Nc1ccc(Nc2ccccc2CC)c2c1C(=O)c1c(O)ccc(O)c1C2=O 1
Drug 6245                                                                                                                                    O=Cc1ccc2c(c1)OCO2 0
Drug 2433                                                                                               CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(O)C1)C(=O)c1c(O)cccc1C3=O 1
Drug 4935                                                                                                                                    COC(=O)CCCCC(=O)OC 0
Drug 3912                                                                                                                          C[C@H]1CN(N=O)[C@H](C)CN1N=O 1
Drug 5145                                                                                                                CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12 0
Drug 6779                                                                                                                    O=C(OCC1CO1)c1cccc(C(=O)OCC2CO2)c1 1
Drug 1132                                                                                                                           CC(C)(C)CC(C)(C)c1ccc(O)cc1 0
Drug 4136                                                                                                                             Nc1ccc([N+](=O)[O-])cc1Cl 1
Drug 7036                                                                                            CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CC=C4CC(=O)CCC4=C23)cc1 0
Drug 5259                                                                                                                          Cn1c(N)nc2ncc(-c3ccccc3)cc21 1
 Drug 504                                                                                                                                         C=CC(=O)OCCCC 0
Drug 3004                                                                                                                    CCC(CCC(C)=O)COC(=O)c1ccccc1C(=O)O 0
Drug 5372                                                                                                                                c1ccc2c(c1)Oc1ccccc1O2 0
Drug 5203                                                                                                                                     NCCCCCCCCCCC(=O)O 0
Drug 7043                                                                                                                   CC1OCCc2cc3c(cc21)C(C)(C)C(C)C3(C)C 0
Drug 6253                                                                                                                    Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1 1
 Drug 643                                                                                                                          C1=Cc2c(ccc3c2ccc2ccccc23)C1 1
Drug 2915                                                                                                                   CCOC(=O)[C@H](SP(=S)(OC)OC)c1ccccc1 0
 Drug 860                                                                                                                                           CS(=O)(=O)O 0
 Drug 827                                                                                                                                             ClC(Cl)Cl 0
Drug 3663                                                                                                                               NNc1nc(-c2ccc(N)cc2)cs1 1
Drug 6946                                                                                                        COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)C1C=COC1O4 1
Drug 5764                                                                                                                                                 CCC#N 0
Drug 4487                                                                                                                   CCc1cc(Cc2cc(C)c(N)c(CC)c2)cc(C)c1N 0
Drug 4518                                                                                                                 CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1 0
Drug 5071                                                                                                                 CCOC(=O)c1cc2cc3c4c(c2oc1=O)CCCN4CCC3 0
Drug 2403                                                                                                                                        Clc1cccc(Br)c1 0
Drug 7317                                                                                                                   Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3=O 1
Drug 4124                                                                                               CCC/C=C/C(=O)OC1C(C)(C)CC2C1(O)C=C(C=O)C13CC21C(=O)OC3O 1
Drug 5464                                                                                                                [N-]=[N+]=NC[C@@H](O)Cn1cnc2c(N)ncnc21 1
Drug 6269                                                                                                               O=[N+]([O-])c1ccc2ccc3ccc(O)c4ccc1c2c34 1
Drug 2410                                                                                                                              CC12OC1C1CCCCC1c1ccccc12 0
Drug 1262                                                                                                                     COc1ccc2[nH]c3c(C)cc(N)c(C)c3c2c1 1
Drug 1008                                                                                                       CCOCCOC(=O)c1cc(Cc2ccc(N)c(C(=O)OCCOCC)c2)ccc1N 0
Drug 4556                                                                                                                        CN(C)CCC=C1c2ccccc2CCc2ccccc21 0
 Drug 234                                                                                                                 OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O 1
Drug 6196                                                                                                          O=P(O)(O)Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O 0
Drug 1732                                                                           O=c1c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)cc2oc2c(O)ccc(O)c12 1
Drug 6708                                                                                                                   Fc1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12 1
Drug 5459                                                                                                                              Cc1c2ccccc2c(C)c2ccccc12 1
Drug 6625                                                                                                   O=C1c2c3c(O)ccc4c3c(c3c(O)ccc(c23)C2OC12)C(O)C1OC41 1
Drug 7311                                                                                          CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1 0
Drug 5165                                                                                                                                      CC(=O)c1ccc[nH]1 1
Drug 1218                                                                                                                                 Nc1cnc2ccc3ccccc3c2c1 1
Drug 1738                                                                                        O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12 1
 Drug 690                                                                                                                            c1ccc2c(c1)-c1ccccc1C1NC21 1
 Drug 294                                                                                                                                 Fc1cc2ccccc2c2ncccc12 1
Drug 5907                                                                                                                                           CC(C)(Cl)Cl 0
Drug 2355                                                                                                                   COc1cc(N=Nc2ccccc2)ccc1[N+](=O)[O-] 1
