Drug 5999                                                                                                                                                     CCn1c(N)nc2c3cccnc3cc(C)c21 1
Drug 2078                                                                                                                                         Oc1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45 1
Drug 1910                                                                                                                                                                  Nc1ccc(C=O)cc1 0
Drug 7535                                                                                                                                          Cc1ccc2cc3c4c(ccc3c3c2c1CC3)C=CC(O)C4O 1
Drug 3802                                                                                                                                                         CC1(C)SSCC(C(=O)O)NC1=O 0
Drug 6410                                                                                                                                                CC(=O)Nc1ccc2c(c1)Cc1cc(O)ccc1-2 1
Drug 3569                                                                                                                                                                        NNC(N)=O 0
Drug 3990                                                                                                                                                      Cc1cc(C)cc([N+](=O)[O-])c1 1
Drug 7349                                                                                                                                                                 CNC(C)Cc1ccccc1 0
Drug 1333                                                                                                                                                    CCOC1=CC(=O)C(NC(C)=O)=CC1=O 1
Drug 5516                                                                                                                                                          c1cc(OCC2CO2)c2sncc2c1 1
Drug 7108                                                                                                                                                                   CC(=O)CC(C)=O 0
 Drug 872                                                                                                                                            CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 0
Drug 1183                                                                                                                                                    Brc1c(Br)c(Br)c(Br)c(Br)c1Br 0
Drug 5031                                                                                                           C[C@H]1C[C@H]2OC(=O)[C@H](C)[C@H]2C[C@@]2(C)[C@H](O)C[C@H](O)C[C@H]12 1
Drug 6945                                                                                                                       COc1cccc2c(O)c3c(O)c4c(c(O)c3c(O)c12)C(=O)CC(O)(C(C)=O)C4 1
Drug 3101                                                                                                                                                         Cc1cc(C(=O)O)c2ncccc2c1 0
Drug 2515                                                                                                                                                             c1ccc(Oc2ccccc2)cc1 0
Drug 1579                                                                                                                               Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1 1
Drug 6634                                                                                                                                      CC(=O)NC(CSC(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(=O)O 1
Drug 2214                                                                                                                                                    [N-]=[N+]=NC(c1ccccc1)C(O)CO 1
Drug 5179                                                                                                                                               O=[N+]([O-])c1ccc(OC[C@H]2CO2)cc1 1
 Drug 163                                                                                                                                                                          N#CCCN 0
Drug 4773                                                                                                                                                                       C1=CCCCC1 0
Drug 5908                                                                           CCOC(=O)[C@@H](C)C[C@](C)(C[C@H](C[C@@](C)(C[C@@H](C[C@](C)(CC)C(=O)O)C(=O)OCC)C(=O)O)C(=O)OCC)C(=O)O 1
Drug 1257                                                                                                                                  C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C 1
Drug 3227                                                                                                                                                 C1=Cc2c3ccc4ccccc4c3cc3cccc1c23 1
 Drug 964                                                                                                                                                                         CC(C)=O 0
Drug 5938                                                                                                                                        Cc1cc(C(=C2C=CC(N)C=C2)c2ccc(N)cc2)ccc1N 1
 Drug 409                                                                                                                                                    O=C(Nc1ccccc1)Nc1snc2ccccc12 0
Drug 4934                                                                                                                                                            O=C/C(Br)=C/c1ccccc1 1
Drug 2348                                                                                                                                                        Cc1ccc2c(c1)-c1ccccc1C2C 1
Drug 4944                                                                                                                                                         CCOc1ccccc1[N+](=O)[O-] 1
Drug 6048                                                                                                                      Cc1ccc([N+](=O)[O-])cc1N=[N+]([O-])c1cc([N+](=O)[O-])ccc1C 0
Drug 1416                                                                                                                                         Nc1ccc(S(=O)(=O)Nc2cnc3c(Cl)cccc3n2)cc1 0
Drug 6473                                                                                                                 O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1 0
Drug 6155                                                                                                                                                              CCCCN(CCC(C)=O)N=O 1
Drug 1781                                                                                                                                           Oc1ccc2c(ccc3[nH]c4ccc5ccccc5c4c32)c1 1
Drug 6910                                                                                                                                            OC1C=C2c3ccc4ccccc4c3-c3cccc(c32)C1O 1
 Drug 942                                                                                                                                                                   CC(Br)(CO)CBr 0
Drug 3653                                                                                                                                                            O=[N+]([O-])c1ccccc1 0
Drug 1734                                                                                                                                                         CCCCOc1ccc(CC(=O)NO)cc1 1
Drug 5416                                                                                                                                              CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1 0
Drug 1875                                                                                                                                   O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)CCC=C4 1
 Drug 839                                                                                                                                              OC1COC(NCCc2c[nH]c3ccccc23)C(O)C1O 1
Drug 4929                                                                                                                                                       O=[N+]([O-])c1cccc(CCl)c1 1
Drug 3976                                                                                                                                                           CC(=O)CN(COC(C)=O)N=O 1
Drug 6934                                                                                                                                    Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O 1
Drug 6134                                                                                                                                                                  O=C1NCNC(=O)N1 1
Drug 3047                                                                                                                           CC(C)C(=O)/N=c1\sn(C(=O)C(C)C)c2ccc([N+](=O)[O-])cc12 1
Drug 5624                                                                                                                                                  Cc1cc2c(c3ccc4ccccc4c13)CCC2=O 1
Drug 4549                                                                                                                                  O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc3ccccc3cc1-2 1
Drug 4854                                                                                                                                                         O=C(CO)N(O)c1ccc(Cl)cc1 0
Drug 2873                                                                                                                                                        CC(C)=C1CC[C@@H](C)CC1=O 0
Drug 4835                                                                                                                                                                    CC(Cl)C(=O)O 0
Drug 6020                                                                                                                                                               ON1CN(Cl)CN(Cl)C1 0
Drug 1206                                                                                                                                           COc1cccc(CN2C3c4ccccc4-c4ccccc4C32)c1 1
Drug 5595                                                                                                                               O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CC(O)C4O 1
Drug 6032                                                                                                                                CC1C(C)(C)Nc2ccccc2C1(C)C1C(C)(C)Nc2ccccc2C1(C)C 0
 Drug 951                                                                                       Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)ccc4cc(S(=O)(=O)O)cc(O)c34)cc2)cc1 1
Drug 4256                                                                                                                                                                     O=C1CCCCCO1 0
Drug 6958                                                                                                                                                    C=C(C)C(=O)N[N+](C)(C)CC(C)O 0
Drug 4243                                                                                                                                                         Cc1cc(Cl)ccc1/N=C/N(C)C 0
Drug 3603                                                                                                                                                 Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C 0
Drug 5264                                                                                                                                                                       O=C1CCCO1 0
Drug 5552                                                                                                                                               CN(C)CCNC(=O)c1cccc2c1Nc1ccccc1O2 1
Drug 2305                                                                                                                                               Oc1cccc2c3cc4ccccc4cc3c3ccccc3c12 1
 Drug 633                                                                                                                                                       Nc1ccc(N=Nc2ccccc2)c(N)c1 1
Drug 5330                                                                                                                                                 CC(=O)Nc1ccc2ccc3cccc4ccc1c2c34 1
Drug 5924                                                                                                                                                                        O=C(O)CS 0
Drug 3616                                                                                                                                                                          IC(I)I 1
Drug 4389                                                                                                                                      O=C(O)CC(NC(=O)COc1cc(Cl)c(Cl)cc1Cl)C(=O)O 0
Drug 4725                                                                                                                                                N#[N+]c1cccc2c1C(=O)c1ccccc1C2=O 1
Drug 2060                                                                                                                                                                         O=C(O)O 0
Drug 5006                                                                                                                                                               Cc1ccc(CC2CO2)cc1 1
Drug 1397                                                                                                                                                        NC(CSC(F)(F)C(F)F)C(=O)O 0
 Drug 956                                                                                               CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C 0
 Drug 664                                                                                                                                         O=[N+]([O-])c1cc(CCl)cc([N+](=O)[O-])c1 1
Drug 2643                                                                                                                                                                  O/N=C/c1ccccn1 0
Drug 7188                                                                                                                                         CNC(C=[N+]([O-])O)=NCCSCc1ccc(CN(C)C)o1 0
 Drug 954                                                                                                                                      CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21 1
Drug 2520                                                                                                                                                      OCc1ccc2ccc3cccc4ccc1c2c34 1
Drug 4421                                                                                                                                                                       CN1CCN=N1 1
Drug 2682                                                                                                         N#Cc1ccc(C[C@@]23C[C@H](N=[N+]=[N-])CN2C(=O)N(c2cc(Cl)cc(Cl)c2)C3=O)cc1 1
Drug 4746                                                                                                                                       CC(=O)Nc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1 0
Drug 5231                                                                                                                                          CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1 0
Drug 6771                                                                                                                                                      O=P1(N(CCCl)CCCl)NC(O)CCO1 1
Drug 4005                                                                                                                                                           O=CC(=C(Cl)Cl)C(Cl)Cl 1
Drug 5804                                                                                                             COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC 0
Drug 4604                                                                                                       Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O 0
Drug 7239                                                                                                                                                                  CC1CCCN(N=O)C1 1
Drug 3098                                                                                                                                          Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
 Drug 386                                                                                                                                                                   O=S1(=O)CCCO1 1
Drug 2002                                                                                                                                                CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O 1
Drug 6437                                                                                                                                        CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC 0
Drug 7154                                                                                                                                   C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C 0
Drug 3711                                                                                                                                                                     NC(=O)C1CO1 1
Drug 1351                                                                                                                   O=S1(=O)OC(c2cc(Br)c(O)c(Br)c2)(c2cc(Br)c(O)c(Br)c2)c2ccccc21 0
Drug 5737                                                                                                                                                                        C1CSCSC1 1
Drug 4258                                                                                                                                            Cc1c2c(c(C)c3ccccc13)C1OC1c1ccccc1-2 1
 Drug 856                                                                                     Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c([C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c(O)c1C2=O 1
Drug 1771                                                                                                                                                                           C=COC 0
Drug 1991                                                                                                                                          CC1(C)CC2C=C(C=O)C34CC3(C(=O)OC4O)C2C1 1
Drug 4981                                                                                                                                         Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1 0
Drug 2494                                                                                       CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O 0
Drug 1435                                                                                                                   CC(C)(C)c1cc(Cc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O 0
Drug 2729                                                                                                                                                                        CC(Br)Br 0
Drug 3655                                                                                                                                                      NC(CSC(F)(F)C(Cl)Br)C(=O)O 1
Drug 5798                                                                                                                                                  COc1ccc(/C=C/C(=O)c2ccccc2)cc1 0
Drug 5469                                                                                                                                             O=C1c2ccccc2-c2c3c(cc4ccnc1c24)OCO3 1
  Drug 62                                                                                                                                                            Nc1ccc(Nc2ccccc2)cc1 0
Drug 4730                                                                                                                                                  CN(C)CCN(Cc1ccc(Cl)s1)c1ccccn1 0
Drug 2269                                                                                                                                                COc1cc(O)c2c(=O)c3cc(O)ccc3oc2c1 1
Drug 6707                                                                                                                                                              O=C(CCl)NCc1ccccc1 1
Drug 6624                                                                                                                                                  Cc1ccc2c(c1O)C(=O)c1ccccc1C2=O 1
 Drug 572                                                                                                                                                                    C=C(C)C(C)Cl 1
Drug 1667                                                                                                                                                     Cc1cc(Cc2ccc(N)c(C)c2)ccc1N 1
Drug 4052                                                                                                                                                            CC(=O)Nc1snc2ccccc12 1
Drug 4759                                                                                                                                            CN1CC[C@@H](CN2c3ccccc3Sc3ccccc32)C1 0
Drug 2693                                                                                                                                                              COc1nsc2ccc(N)cc12 1
Drug 4911                                                                                                                          O=[N+]([O-])c1ccc2c3c(ccc([N+](=O)[O-])c13)-c1ccccc1-2 1
Drug 3008                                                                                                                                                   Cc1ccc2cc3c(ccc4ccccc43)cc2c1 1
Drug 3228                                                                                                                                                     O=C(O)c1ccc([N+](=O)[O-])o1 1
Drug 5063                                                                                                                                               O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1 0
Drug 3433                                                                                                                                  CCN(CC)c1ccc(-c2ccc(-c3ccc(N(CC)CC)cc3)cc2)cc1 1
 Drug 253                                                                                                                                           CCCCCCCCc1ccc(Nc2ccc(CCCCCCCC)cc2)cc1 0
Drug 5637                                                                                                                                                         CC(C)(CO)C(O)C(=O)NCCCO 0
Drug 2240                                                                                                                                                                 CC(=O)Nc1ccccc1 0
 Drug 687                                                                                                                                                                   C=CCCC(C=O)CC 0
 Drug 794                                                                                                                                              CC(=O)N(O)c1ccc2ccc3cccc4ccc1c2c34 1
Drug 5083                                                                                                                 COC(O)=C1C(C)=NC(C)=C(C(=O)OCC(C)=O)[C@@H]1c1ccccc1[N+](=O)[O-] 0
Drug 3400                                                                                                                                                                        C1OCOCO1 0
Drug 2654                                                                                                                                                                COc1nncc2ncccc12 0
Drug 5017                                                                                                                                            COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC 1
Drug 7319                                                                                                                                        Cc1ccc2cc3c(c4c2c1CC4)C(O)C(O)c1ccccc1-3 1
 Drug 628                                                                                                                                                                    C1CN2CCN1CC2 0
Drug 4890                                                                                                                                                   CN(C)CCCN1c2ccccc2CCc2ccccc21 0
Drug 2330                                                                                                                                        O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccccn2)cc1 0
Drug 1485                                                                                                                                                      Nc1ccc(N=Nc2cccc(N)c2N)cc1 1
Drug 2555                                                                                                                                                 Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 0
Drug 6735                                                                                                                                           C1=CC2OC2c2ccc3c4c5c(cccc5cc3c21)C=C4 1
Drug 2616                                                                                                                                                       NC(=O)N(c1ccccc1)c1ccccc1 0
Drug 6168                                                                                                                                                           NCCNC(=O)c1ccc(Cl)cn1 0
Drug 1527                                                                                                                                                              [N-]=[N+]=NCC(=O)O 0
Drug 3139                                                                                                                                                        Cc1cc(C)c2ccc3ccccc3c2c1 1
Drug 1787                                                                                                                                                       CC(=O)Nc1ccc(C(=O)CCl)cc1 1
Drug 4058                                                                                                                                                          Cn1c(N)nc2cc(C#N)ccc21 1
Drug 5604                                                                                                                                                     O=C(Nc1snc2ccccc12)c1ccccc1 1
Drug 3861                                                                                                                                O=[N+]([O-])c1ccc2c3c4c(cccc4c4ccccc4c13)C(O)C2O 1
Drug 3748                                                                                                                                         CC(=O)Nc1cccc(N=Nc2cccc(NC(C)=O)c2C)c1C 0
 Drug 979                                                                                                                                     CC[C@@H](C)NC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 3519                                                                                                                                                           OO[C@@H]1CCCc2ccccc21 1
Drug 7142                                                                                                                                         CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1 0
Drug 5109                                                                                                                CC(C)n1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21 0
Drug 1422                                                                                                                                          CN(C)CCNC(=O)c1cccc2ncc(-c3ccccc3)nc12 1
Drug 2518                                                                                                                                           Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1 1
Drug 6321                                                                                                                                               Cc1ccccc1NS(=O)(=O)c1cccc2cccnc12 0
Drug 1538                                                                                                                                                Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1 1
Drug 7058                                                                                                                                                             CC(O)CCC(=O)c1ccoc1 0
Drug 1686                                                                                                                                                     Nc1ccc2cccc3c2c1-c1ccccc1-3 1
Drug 6322                                                                                                                                                OCc1c2ccccc2c(CO)c2c1ccc1ccccc12 1
  Drug 46                                                                                                                   CC(=C\C1=CCOC1=O)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O 1
Drug 1461                                                                                            Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)cc2)cc1 1
Drug 1980                                                                                                                                              Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 6036                                                                                                                                                                  CC(C)Nc1ccccc1 0
Drug 6951                                                                                                                                                OCC1OC(n2cnc3c(NO)ncnc32)C(O)C1O 1
Drug 4992                                                                                                          O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F 0
Drug 3978                                                                                                                                                         C[C@H](CCl)O[C@H](C)CCl 1
Drug 3161                                                                                                                                                                CC(=O)[C@@H](C)O 0
 Drug 172                                                                                                                                                      CC(C)CCOC(=O)/C=C\c1ccccc1 0
Drug 5529                                                                                                                               CC1CC2(OC2C)C(=O)OC2CCN(C)CC=C(COC(=O)C1(C)O)C2=O 1
Drug 4989                                                                                                                                       O=[N+]([O-])c1ccc2c(c1)[C@H](O)c1ccccc1-2 1
Drug 6893                                                                                                                                                      c1cc2ccc3cccc4ccc(c1)c2c34 1
Drug 4664                                                                                                                                           c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C2OC12 1
Drug 6069                                                                                                                                                 CCc1c2ccccc2c(C)c2ccc3ccccc3c12 0
Drug 1268                                                                                                                                                   O=[N+]([O-])c1ccccc1-c1ccccc1 0
Drug 1388                                                                                                                                    CC(=O)Nc1ccc(Oc2ccc(N(OC(C)=O)C(C)=O)cc2)cc1 1
Drug 5485                                                                                                                                   CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1 1
 Drug 817                                                                                                   COc1cc(/C=C/C(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O 0
Drug 5089                                                                                                                                       CN/C(=C/[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1 0
Drug 3553                                                                                                                           Cc1cc(-c2cc3c(cc2F)n2c(=O)[nH]c(=O)cc2n3C2CC2)cc(C)n1 1
Drug 6869                                                                                                                                                      COP(=O)(OC)C(O)C(Cl)(Cl)Cl 1
Drug 2490                                                                                                                                                        CC(=O)Nc1snc2ccc(Cl)cc12 1
Drug 5016                                                                                                                                                CC(O)Cc1cc(N)cc([N+](=O)[O-])c1N 0
Drug 5729                                                                                                                                                                  C=Cc1ccc(N)cc1 1
Drug 4642                                                                                                                                     CC(=O)Nc1ccc([C@H]2O[C@H]2C(=O)c2ccccc2)cc1 1
Drug 5352                                                                                                                                                              Nc1c(O)cccc1C(=O)O 0
Drug 2123                                                                                                                                             OCc1ccc(-c2[nH]ccc3c4ccccc4nc2-3)o1 1
Drug 4080                                                                                                                                                 O=[N+]([O-])c1ccc(Nc2ccccc2)cc1 0
Drug 1136                                                                                                                                                               CCCCCCCC[C@H]1CO1 0
Drug 2624                                                                                                                                                             CCCCCCCCCCCCCC(=O)O 0
Drug 6385                                                                                                                                                                       CCOC(N)=O 1
Drug 1147                                                                                                                                                         Nc1ccc(Cc2ccc(N)cc2)cc1 1
Drug 2993                                                                                                                                                               CCN(CCCC(=O)O)N=O 1
Drug 2174                                                                                                                              O=[N+]([O-])c1c2c(cc3ccccc13)[C@@H](O)[C@H](O)C=C2 1
Drug 6458                                                                                                                                                                NON(N=O)c1ccccc1 1
Drug 6157                                                                                                                                       COC1=CC(=O)c2[nH]c(C)c3c4ccccc4nc-3c2C1=O 1
Drug 1704                                                                                                                                                                           C=C=O 1
Drug 7015                                                                                                                                                                   CCCCCCCCC1CO1 0
Drug 5573                                                                             O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1 1
Drug 4783                                                                                                            O=[N+]([O-])c1cccc(CO/N=C/c2nc3cc([N+](=O)[O-])ccc3n2Cc2ccc(F)cc2)c1 0
Drug 4074                                                                                                                                                              CNC(=O)N(O)C(=O)NC 0
Drug 1592                                                                                                                                                        CC(C)(Br)C(=O)NCc1ccccc1 0
Drug 3578                                                                                                                                                                O=c1ccc2ccccc2o1 1
Drug 5100                                                                                                                                                     C[n+]1c2ccccc2cc2cc(N)ccc21 1
Drug 7598                                                                                                                                                     C=C(C)C1CC=C(C)C(OC(C)=O)C1 0
