Drug 2038                                                                                                                                    CCCCCCCC1CCC(=O)O1 0
Drug 3192                                                                                                                                     CCCCCC(O)/C=C/C=O 0
Drug 2936                                                                                                                               OCCN(CCO)c1ccc2ccccc2c1 1
Drug 4328                                                                                                                    CC(=O)OCc1ccccc1N=Nc1ccc(N(C)C)cc1 1
Drug 5521                                                                                                                                          O=C[C@H]1CO1 1
Drug 4116                                                                                 CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccn4ncccc43)CSC12)c1nsc(N)n1 0
Drug 4768                                                                                                 C[C@@H]1COc2c(N3CCN(C)CC3)c(F)c(C(=O)O)c3c(=O)ccn1c23 1
Drug 3410                                                                                                                                                 NCCCN 0
Drug 3657                                                                                                                                     CC(c1ccccc1)N(C)C 0
Drug 5737                                                                                                                                              C1CSCSC1 1
Drug 6464                                                                         CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O 1
 Drug 772                                                                                                                                          Cc1ccccc1N=O 1
Drug 7279                                                                                              COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O 0
Drug 4001                                                                                                                         Cc1c(C(=O)O)cccc1[N+](=O)[O-] 1
Drug 4504                                                                                                                           CCC(C)C1NC(=O)C(C(C)=O)=C1O 0
Drug 5950                                                                                                                                     O=Cc1cccc2cccnc12 1
Drug 6119                                                                                                    CC(=O)OC1COC(Nc2ccc(C(=O)O)cc2)C(OC(C)=O)C1OC(C)=O 0
  Drug 63                                                                                                                                     C=C(C)C(=O)OCCCCC 0
  Drug 13                                                                                                                              Cc1cccc([N+](=O)[O-])c1C 1
Drug 3270                                                                                                                        c1ccc2sc(SSc3nc4ccccc4s3)nc2c1 1
 Drug 685                                                                                                  CC(C)(C)C1=CC(=O)C=C(C2=CC(=O)C=C(C(C)(C)C)C2=O)C1=O 1
Drug 3712                                                                                                                COC(=O)C(C)(C)Oc1ccc(-c2ccc(Cl)cc2)cc1 0
 Drug 180                                                                                                                         O=C1NC(=O)C(Cl)(Cl)C1=C(Cl)Cl 1
Drug 3703                                                                                                                                                COCC=O 1
 Drug 182                                                                                                                     CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C 1
Drug 4881                                                               COc1cc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3O)c(OC)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O 0
Drug 5977                                                                                                                    O=c1c2c(O)cc(O)cc2oc2c(O)ccc(O)c12 1
Drug 3488                                                                                                                                      Clc1cccc2ccccc12 1
Drug 1016                                                                                                                 OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO 0
Drug 5191                                                                                                                    Cc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
 Drug 541                                                                                                                 OC1C=Cc2c(c3ccccc3c3cc4ccccc4cc23)C1O 1
 Drug 853                                                                                                                   CC(C)=CCC[C@@](C)(O)[C@H]1CCC=CC1=O 1
  Drug 62                                                                                                                                  Nc1ccc(Nc2ccccc2)cc1 0
Drug 2174                                                                                                    O=[N+]([O-])c1c2c(cc3ccccc13)[C@@H](O)[C@H](O)C=C2 1
Drug 3930                                                                                                                                           Cc1ccccc1Br 0
Drug 4644                                                                                                                        [N-]=[N+]=NCC(O)Cn1ccc(N)nc1=O 1
Drug 6115                                                                                                                                                 S=C=S 0
Drug 2232                                                                                                                                CC(=O)N(O)c1ccc(Cl)cc1 0
Drug 1404                                                                                                                    c1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12 0
Drug 6058                                                                                                                               CN(CCCC(=O)c1cccnc1)N=O 1
 Drug 270                                                                                                     O=[N+]([O-])c1cc(-c2ccc(O)c([N+](=O)[O-])c2)ccc1O 0
Drug 2600                                                                                                                               Nc1ccccc1C(=O)OC1CCCCC1 0
Drug 1855                                                                                                                    CC(=O)Nc1ccc2ccc3c(O)ccc4ccc1c2c43 1
Drug 1366                                                                                                                                  CN(C)c1ccc(N(C)C)cc1 1
Drug 4898                                                                                                                 O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1 0
Drug 5445                                                                                                                                         CCC(=O)C(C)=O 0
Drug 2842                                                                                                                           Cc1cc2c3ccccc3ccc2c2ccccc12 1
Drug 5379                                                                                 COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1 1
Drug 5774                                                                                                                                       CSC(C)(C)/C=N\O 0
Drug 4206                                                                                                                                    NCCc1cc(O)c(O)cc1O 1
Drug 4184                                                                                                                                                 N#CCl 0
Drug 4423                                                                                                                                      Clc1ccc2ccccc2n1 0
Drug 5547                                                                                                                                  O=NN(CCCl)C(=O)NCCCl 1
Drug 6509                                                                                                                CC(C)(Oc1ccc(C2CCCc3ccccc32)cc1)C(=O)O 0
Drug 6152                                                                                                                                              CC(Cl)CO 1
Drug 3857                                                                                                                               Nc1ccc(Sc2ccc(N)cc2)cc1 1
Drug 4134                                                                                                                              CON(C)C(=O)Nc1ccc(Br)cc1 0
Drug 1245                                                                                                         CC(=O)O[C@@H]1Cc2c3ccc4ccccc4c3cc3ccc(C)c1c23 1
Drug 4989                                                                                                             O=[N+]([O-])c1ccc2c(c1)[C@H](O)c1ccccc1-2 1
Drug 2393                                                                                                                                    ONc1ccc(Cl)c(Cl)c1 0
Drug 2727                                                                                                                                        CCCCN(CCCO)N=O 1
Drug 6394                                                                                                                                  FC(F)(F)c1ccc(Cl)cc1 0
Drug 7126                                                                                                                                  Clc1nnc(Cl)c2ccccc12 0
Drug 1361                                           Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@@H]3[C@@H](CO)O[C@@H](n4cnc5c(N)ncnc54)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)n1 0
Drug 1633                                                                                      C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23 1
Drug 6122                                                                                                                         Cc1cccc2nc3c(ccc4ccccc43)cc12 1
 Drug 558                                             CN1C[C@H](C(=O)N[C@@]2(C)O[C@]3(O)[C@H]4CCCN4C(=O)[C@@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@@H]21 0
Drug 2148                                                                                                   COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3 1
Drug 2427                                                                                                  O=[N+]([O-])c1cc2ccc3cc([N+](=O)[O-])cc4ccc(c1)c2c34 1
Drug 3516                                                                                                                             CCOC(=O)c1ccc(N(O)C=O)cc1 0
Drug 5451                                                                                                                   CC(C)C[C@@H](C)Nc1ccc(Nc2ccccc2)cc1 0
 Drug 794                                                                                                                    CC(=O)N(O)c1ccc2ccc3cccc4ccc1c2c34 1
Drug 6287                                                                                                                            CC(C)C(=O)N(O)c1ccc(Cl)cc1 1
Drug 4344                                                                                                       O=[N+]([O-])c1ccc(-c2nc(N(CCO)CCO)c3ccccc3n2)s1 1
 Drug 631                                                                                       ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@H]3[C@@]1(Cl)C2(Cl)Cl 0
 Drug 663                                                                               [N-]=[N+]=Nc1ccc2c(Nc3ccc(NS(=O)(=O)CCCN)cc3)c3cc(N=[N+]=[N-])ccc3nc2c1 1
Drug 2390                                                                                                         Cc1ccc(/C(C#N)=C/C=C/c2ccccc2[N+](=O)[O-])cc1 1
Drug 5494                                                                                                                                           O=Cc1ccccc1 0
 Drug 116                                                                                                                    CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1 0
Drug 6674                                                                                                           C=CCC1C(=O)CC(OC(=O)C2C(C=C(C)C)C2(C)C)=C1C 1
Drug 4067                                                                                                                           Cc1cc2ccccc2cc1[N+](=O)[O-] 0
Drug 4654                                                                                                     O=C(Nc1cccc([N+](=O)[O-])c1)c1csc([N+](=O)[O-])c1 1
 Drug 118                                                                                                                                  c1cc2c3c(cccc3c1)CC2 0
Drug 5036                                                                                                                   CC(=O)OC1Cc2cc3cccc4ccc5ccc1c2c5c43 1
Drug 5454                                                                                                                                CC(C)(C)C1CCC2(CC1)CO2 0
Drug 5504                                                                                                                           Cc1cc2cc3ccccc3cc2c2ccccc12 1
Drug 4550                                                                                             COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccc(N=[N+]=[N-])cc12 1
 Drug 687                                                                                                                                         C=CCCC(C=O)CC 0
Drug 3263                                                                                                 CC[N+]([O-])(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2 1
Drug 2072                                                                                                                           CC(C)OC(=O)COc1ccc(Cl)cc1Cl 0
Drug 5130                                                                                                                                  C/C=C/c1ccc(OC)cc1OC 0
Drug 2003                                                                                                               OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O 0
 Drug 947                                                                                                                         O=c1ccc2cc3c4c(c2o1)CCCN4CCC3 1
Drug 4699                                                                                                                                           CC(C)CC(C)O 0
 Drug 390                                                                                                                                  Nc1ccc(Sc2ccccc2)cc1 1
Drug 6459                                                                                                                                           O=S(=O)(O)O 0
Drug 5370                                                                                                           COC(=O)[C@]1(C(N)=O)O[C@@]1(C)[C@H](O)C(C)C 1
Drug 2838                                                                                                                      O=C1C=C(Nc2ccccc2)C(=O)c2ccccc21 1
  Drug 21                                                                                                                              Cc1ccc2ccc3ccc(C)cc3c2c1 1
 Drug 992                                                                                                                                     Cc1ccc([N+]#N)cc1 1
Drug 1838                                                                                      N=C(N)NN=C(/C=C\c1ccc([N+](=O)[O-])o1)/C=C\c1ccc([N+](=O)[O-])o1 1
Drug 6010                                                                                                         CC(=O)OC1C2OC2C2=CC(=O)C3(CC2(C)C1C)OC3(C)C=O 1
 Drug 303                                                                                                                      c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1 1
Drug 6239                                                                                                                                         OC[C@H](O)CCl 1
 Drug 729                                                                                                                       O=[N+]([O-])c1ccc2oc3ccccc3c2c1 1
Drug 1764                                                                                                     CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1cc(OC)c(OC)c(OC)c1 1
Drug 2138                                                                                                                                        Cc1cccc(NO)c1C 1
Drug 1986                                                                                                        CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1 1
Drug 6818                                                                                                       O=[N+]([O-])c1cc2c3c(ccc2c2ccccc12)C(O)C(O)C=C3 1
 Drug 213                                                                                                                                       Nc1cccc2cccnc12 1
Drug 1798                                                                                                                               Oc1ccccc1-c1nc2ccccc2o1 0
Drug 2660                                                                                                                                       O=C1CC2SCC=CN12 0
Drug 4665                                                                                                                                 Cc1c2ccccc2cc2ccccc12 1
Drug 1998                                                                                                                        CC(C)[C@H]1CC[C@H](C)C[C@@H]1O 0
Drug 2262                                                                        C[C@@H]1C[C@H]2OC(=O)[C@]3(C)[C@H]2[C@@H](O[C@]3(C)O)[C@@]2(C)C(=O)C=C[C@@H]12 0
Drug 3959                                                                                                                                  C[N+](C)(C)NCCC(=O)O 0
Drug 1466                                                                                                         COC(=O)Nc1nc2cc(/C(=N/O)c3ccc(F)cc3)ccc2[nH]1 1
Drug 5517                                                                                                                                           O=C(NCO)NCO 1
Drug 5173                                                                                                                     CCCCCC[C@H](O)C/C=C\CCCCCCCC(=O)O 0
Drug 4085                                                                                                                                        CCC(=O)C(=O)CC 1
Drug 3069                                                                                                                                          FC(Cl)(Cl)Cl 0
Drug 2307                                                                                                        N#C/C(=C\C=C\c1ccccc1[N+](=O)[O-])c1ccc(Br)cc1 1
Drug 5196                                                                                                                                              O=C1CCO1 1
Drug 4923                                                                                                                         O=C1Nc2ccc(S(=O)(=O)O)cc2C1=O 1
Drug 2410                                                                                                                              CC12OC1C1CCCCC1c1ccccc12 0
Drug 2961                                                                                                             CCOC(=O)C(C#N)c1snc2ccc([N+](=O)[O-])cc12 1
Drug 7515                                                   CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(O)(C2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(C)(O)C1O 0
Drug 2200                                                                                                                                          Cc1cccc(N)c1 0
Drug 1972                                                                                                  COC(=O)c1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
Drug 5396                                                                                                                 CCCCCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 5670                                                                                                                       CCOC(=O)Cc1c(C(=O)O)c2ccccc2n1C 0
Drug 4003                                                                                                                       Nc1nc(O)nc2c1ncn2C1CC(O)C(CO)O1 0
Drug 6840                                                                                                               O=C1NC(c2ccc([N+](=O)[O-])s2)Nc2ccccc21 1
Drug 4225                                                                                                              CC(C)(C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 2809                                                                                                                                       COc1ccc(N=O)cc1 1
Drug 1908                                                                                                                      Nc1nc(-c2cc([N+](=O)[O-])cs2)cs1 1
Drug 5974                                                                                                                        CCOC(=O)N(CCCC(=O)c1cccnc1)N=O 1
Drug 4202                                                                                                                 CC(=O)Nc1ccc(/C=N/n2nnc3ccnc-3c2O)cc1 1
Drug 3575                                                                                                                         N#Cc1cccc(/C=C/c2ccc(N)cc2)c1 1
Drug 4002                                                                                                       NC(CCC(=O)NC(CSC(=O)NCCCCl)C(=O)NCC(=O)O)C(=O)O 1
Drug 1476                                                                                                                   O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1 1
Drug 3792                                                                                                                                           CCCCOCCOCCO 0
Drug 2814                                                                                                                  COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
 Drug 238                                                                                                       CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
Drug 1474                                                                                                                          Nc1cc([N+](=O)[O-])c(N)cc1Cl 1
Drug 2701                                                                                                                   CC(=O)Nc1ccc(N=Nc2ccc(N(C)C)cc2)cc1 1
Drug 5025                                                                                                                                 Nc1ccccc1[N+](=O)[O-] 0
Drug 2841                                                                                                                                        CC(O)C(=O)NCCO 1
Drug 1124                                                                                                                  NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O 1
Drug 7434                                                                                                                        COc1cc2c(c3ccc4ccccc4c13)CCC2C 1
 Drug 559                                                                                                                    O=[N+]([O-])c1ccc2c(c1)Cc1ccccc1-2 1
Drug 6917                                                                                                                          [N-]=[N+]=NCC(O)CN=[N+]=[N-] 1
 Drug 882                                                                                                                                   O=Cc1ccc(Cl)c(Cl)c1 0
Drug 5896                                                                                                                                     Cc1cccc2sc(N)nc12 0
Drug 3145                                                                                                                           Nc1cc([N+](=O)[O-])c(N)cc1F 1
Drug 6823                                                                                                                                 NC(CSC(Cl)=CCl)C(=O)O 1
 Drug 600                                                                                                                                   FC(F)OC(Cl)C(F)(F)F 0
Drug 6378                                                                                            CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1 0
Drug 2459                                                                                                                       Nc1ccc(-c2cc(Cl)c(N)c(Cl)c2)cc1 1
Drug 2314                                                                                                                                    Cc1ccc(C(=O)O)cc1N 1
Drug 4443                                                                                                                                                  NCCO 0
 Drug 594                                                                                                                               COC(=O)C(C)CN=[N+]=[N-] 1
Drug 6162                                                                                                                                     C[C@@H]1CCCCN1N=O 1
Drug 5918                                                                                                           CC(=O)Nc1cc2c(cc1OC(=O)c1ccccc1)-c1ccccc1C2 0
Drug 2286                                                                                                                                             OCC1CCCO1 0
Drug 2185                                                                                                 CCN(CC)c1cc(NC(C)=O)c(N=Nc2ccc([N+](=O)[O-])cc2)cc1OC 1
Drug 2444                                                                                                                       O=[N+]([O-])c1[nH]cnc1-c1ccccc1 1
Drug 2603                                                                                                                                        O=C1CCC(=O)N1O 0
Drug 1173                                                                                                                    c1ccc2c(c1)Cc1c-2ccc2ccc3ccccc3c12 1
Drug 4752                                                                                                                CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C 0
Drug 5362                                                                                                                                        CCOC(=O)C(C)=O 0
 Drug 968                                                                                                                                   CC(=O)N(O)c1ccccc1C 1
Drug 4549                                                                                                        O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc3ccccc3cc1-2 1
 Drug 767                                                                                                          CC(=O)OCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32 1
 Drug 924                                                                                                                               Cc1cnc2ccc3c(ncn3C)c2n1 0
Drug 1402                                                                                                                                       CCCCN(CCCC)CCCC 0
Drug 3938                                                                                                                           O=C(Cl)c1ccccc1[N+](=O)[O-] 1
Drug 5782                                                                                                                              CC(C)OC1OC(=O)C(Cl)=C1Cl 1
Drug 1757                                                                                                                                 COc1cc(CCC(C)=O)ccc1O 0
Drug 4974                                                                                                       C=C1C(=O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3 1
Drug 6678                                                                                                           O=NN(c1ccc([N+](=O)[O-])cc1)C1OC(CO)C(O)C1O 1
Drug 2002                                                                                                                      CN(C)S(=O)(=O)CCNC(=O)N(CCCl)N=O 1
Drug 2336                                                                                                                           Cc1cccc2cc3ccc4ccccc4c3nc12 0
Drug 5651                                                                                                                       CC/C=C/C=C/C=C/C=C/C=C/SCC(O)CO 0
Drug 3812                                                                                                            O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 1
 Drug 114                                                                                                                                      O=C(NO)c1ccccc1O 1
Drug 1110                                                                                                                                    Cc1ccc2c(C)cccc2c1 0
Drug 2670                                                                                                                   CC(C)CCCCCOC(=O)Cc1cc(Cl)c(Cl)cc1Cl 0
Drug 2316                                                                                                                                CCCCN(C[C@H](O)CCO)N=O 1
Drug 2672                                                                                                                                           O=CC(Br)CBr 1
Drug 4209                                                                                                                                O=[N+]([O-])c1ccccc1Br 1
Drug 1211                                                                                                                                CC(=O)c1ccc(CC(C)C)cc1 0
 Drug 753                                                                                                                                   CCCCCCCCCCCCCCCCCCO 0
 Drug 961                                                                                                                                        Clc1cncc(Cl)c1 0
Drug 1367                                                                                                                          CCCN(C(=O)CCCl)c1snc2ccccc12 1
Drug 3402                                                                                                                           Cc1ccc2c(C)c3ccccc3c(C)c2c1 1
Drug 3798                                                                                                                                          C[C@@H](O)CN 1
 Drug 519                                                                                                                                        Clc1cccc(Cl)c1 0
 Drug 670                                                                                                                           Cc1c2ccccc2cc2ccc3ccccc3c12 1
Drug 5795                                                                                                                                            CC(C)(C)Br 1
 Drug 419                                                                                                                                      O=C(CCl)c1ccccc1 0
Drug 3324                                                                                                                             OC1C=Cc2c(ccc3ccccc23)C1O 1
Drug 5366                                                                                                                                           N#C/C=C\C#N 0
 Drug 925                                                                                                                   OC1C=Cc2cc3c(ccc4ccccc43)c(Cl)c2C1O 0
Drug 1557                                                                                                                              O=P(O)(NCCCO)N(CCCl)CCCl 1
Drug 4492                                                                                                                                             CN(C)CCCl 1
Drug 1560                                                                                                                                          O=CNc1ccccc1 0
Drug 2766                                                                                                                              Cc1cccc([N+](=O)[O-])c1N 1
Drug 5194                                                                                                         O[C@H]1C=C2c3ccc4ccccc4c3-c3cccc(c32)[C@@H]1O 1
Drug 2633                                                                                                                         Cc1cnc2c(n1)c(C)cc1c2nc(N)n1C 1
Drug 2309                                                                                                                              C/C=C/c1cc(OC)c(OC)cc1OC 1
