Drug 1224                                                                                                                                              c1ccccc1 0
Drug 5946                                                                                                       O=[N+]([O-])c1ccc(-c2nc3sccn3c2[N+](=O)[O-])cc1 1
Drug 3053                                                                                                                                 NC(=S)Nc1cccc2ccccc12 1
Drug 1378                                                                                                             CC[C@@H]1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1 0
Drug 3275                                                                                                                   ClC(Cl)=Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
 Drug 925                                                                                                                   OC1C=Cc2cc3c(ccc4ccccc43)c(Cl)c2C1O 0
Drug 6749                                                                                                                                       C=CC(=O)OCC1CO1 1
Drug 1921                                                                                                                                     CCOc1cccc2cccnc12 0
Drug 2254                                                                                                                       CC(C)(COC[C@H]1CO1)COC[C@H]1CO1 1
Drug 3678                                                                                                                         Cc1ccc2c(c1)C(=O)c1ccccc1C2=O 0
Drug 3427                                                                                                                    O=[N+]([O-])c1ccc2c(ccc3ccccc32)c1 1
Drug 6932                                                                                                           CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12 1
Drug 3354                                                                                                                                        NC(=S)NNC(N)=S 0
Drug 1781                                                                                                                 Oc1ccc2c(ccc3[nH]c4ccc5ccccc5c4c32)c1 1
Drug 3129                                                                                                                    Cc1cc2ccccc2c2cc3c(cc12)C=CC(O)C3O 1
Drug 5733                                                                                                      CC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-] 0
Drug 1846                                                                                                                                 CC(=O)Oc1cccc2cccnc12 0
Drug 4722                                                                                                                                    Clc1ccc(CC2CO2)cc1 1
 Drug 397                                                                                                                 O=C(/C=C/c1ccc(-c2ccccc2)cc1)c1ccccc1 0
Drug 6330                                                                                                                         Cc1ccc(C(=O)O)cc1[N+](=O)[O-] 1
 Drug 952                                                                                                                                           O=C(CCl)CCl 1
Drug 2732                                                                                                                                                OCCCCO 0
Drug 5543                                                                                                                 CC[C@@]1(CC(=O)O)OCCc2c1n(C)c1ccccc21 0
Drug 3872                                                                                                                  [N-]=[N+]=NCC(O)Cn1cnc2c(N)nc(N)nc21 1
Drug 5617                                                                                                       COc1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
Drug 2915                                                                                                                   CCOC(=O)[C@H](SP(=S)(OC)OC)c1ccccc1 0
Drug 6000                                                                                                                           C[n+]1c2ccccc2cc2c(N)cccc21 1
Drug 1851                                                                                                                          Nc1ncnc2c1ncn2C1CC(O)C(CO)O1 0
Drug 3130                                                                                                                                              CC(=O)NO 1
Drug 6891                                                                                                                 O=[N+]([O-])c1ccc2c(c1)C(O)c1ccccc1-2 1
Drug 5135                                                                                                                                 O=C(NO)c1ccc(O)c(O)c1 1
Drug 6354                                                                                                                            Cc1ccc([N+](=O)[O-])c(N)c1 0
Drug 2808                                                                                                                                 [O-][n+]1cc2ccncc2cn1 0
Drug 5676                                                                                                                       CC1C(C)(C)C2=C(C(=O)CCC2)C1(C)C 0
 Drug 302                                                                                                                                            CC(C)C(C)C 0
Drug 3663                                                                                                                               NNc1nc(-c2ccc(N)cc2)cs1 1
Drug 5065                                                                                                                                   O=C(C(Cl)Cl)C(Cl)Cl 1
Drug 1491                                                                                                            O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21 0
 Drug 666                                                                                                                       CCc1c2ccccc2c(C)c2c1ccc1ccccc12 0
Drug 7107                                                                                                                     CCc1cc(N)cc(C)c1Cc1c(C)cc(N)cc1CC 0
Drug 5463                                                                                                        O=[N+]([O-])c1cccc2nc3c([N+](=O)[O-])cccc3nc12 0
Drug 4652                                                                                                     O=[N+]([O-])c1ccc2c(c1)CCc1cc([N+](=O)[O-])ccc1-2 1
Drug 2408                                                                                                                                        Cc1nc2ccccc2s1 0
Drug 1910                                                                                                                                        Nc1ccc(C=O)cc1 0
Drug 7014                                                                                                  O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)ccc23)cc1 0
 Drug 147                                                                                                                                       C=CC(=O)OCCCCCC 0
Drug 2913                                                                                                                      N[C@@H](CCC(=O)NNc1ccccc1)C(=O)O 1
Drug 1845                                                                                                                               Oc1c(Cl)cc(Cl)c(Cl)c1Cl 0
  Drug 82                                                                                               COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4 1
 Drug 721                                                                                          C[C@H]1Cc2c(Cl)cc(C(=O)N[C@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1 0
Drug 6357                                                                                                                 CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12 1
Drug 6613                                                                                                                                           ClCC(Br)CBr 1
Drug 5575                                                                                                                   O=[N+]([O-])c1ccc2c(c1)CCc1ccccc1-2 1
 Drug 934                                                                                                                                    COc1nsc2c(N)cccc12 1
 Drug 145                                                                                                         c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1 0
Drug 1064                                                                                                                                     Cc1coc2c1CCC(C)C2 0
Drug 3802                                                                                                                               CC1(C)SSCC(C(=O)O)NC1=O 0
Drug 4340                                                                                                              CC1(Cn2ccnn2)C(C(=O)O)N2C(=O)CC2S1(=O)=O 0
Drug 6638                                                                                                 C=C(C)C1C=C2C(COC(=O)CCCCCCCCCCCCCCCCC)=CC=C2C(C)=CC1 1
Drug 2321                                                                                                                  O=C1c2ccccc2C([N+](=O)[O-])c2ccccc21 0
Drug 4828                                                                                                                                                 O=CCO 0
Drug 2300                                                                                                                                                  OCCO 0
Drug 2850                                                                                                                                         CCCCCC(=O)OCC 0
Drug 3421                                                                                                                         c1cc[n+]2c(c1)-c1cccc[n+]1CC2 0
Drug 3963                                                                                                              Cc1ccc(NC2OC[C@@H](O)[C@H](O)[C@H]2O)cc1 1
Drug 1808                                                                                                      O=[N+]([O-])c1ccc(Nc2ccc(O)cc2)c([N+](=O)[O-])c1 1
Drug 5100                                                                                                                           C[n+]1c2ccccc2cc2cc(N)ccc21 1
Drug 2719                                                                                                                      CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)O 0
 Drug 407                                                                                                                         Cc1ccc2nsc(NC(=O)C(Cl)Cl)c2c1 1
Drug 2146                                                                                                               Oc1cc2ccc3c4c(cc5cccc1c5c24)-c1ccccc1-3 0
Drug 7390                                                                                                 CC[N+]([O-])(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2 1
Drug 2764                                                                         OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO 0
Drug 2216                                                                                                              O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccccc1 0
 Drug 556                                                                                                                                  CC(Br)C(=O)Nc1ccccc1 1
 Drug 939                                                                                                                                         CCCCOC(=O)CCC 0
Drug 5807                                                                                                                   COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1 0
Drug 5883                                                                                                                                    CCN(CC)c1cccc(O)c1 1
Drug 1111                                                                                                              O=C(/C=C/c1ccccc1)c1ccc([N+](=O)[O-])cc1 1
 Drug 274                                                                Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2C)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 6281                                                                                                                                 O=C(O)Cc1ccc(O)c(O)c1 1
Drug 2923                                                                                                                                    NCCNc1cccc2ccccc12 1
Drug 1856                                                                                                             Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1 0
Drug 2017                                                                                                O=C(ON(OCc1ccccc1)C(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1 1
Drug 5160                                                                                                                                             C=CCNCC=C 0
Drug 3744                                                                                                                                     FC(F)C(F)C(F)(F)F 0
Drug 3093                                                                                                                           COC(=O)C1=C(C)C(C(C)C)OC1=O 1
Drug 3538                                                                                                                   Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O 1
Drug 5027                                                                                                                                             FC(F)(F)I 1
Drug 5741                                                                                                                 Nc1ccc2c([nH]c3ccccc32)c1[N+](=O)[O-] 1
Drug 1830                                                                                                                         Nc1cc2c3c(cccc3c1)-c1ccccc1-2 1
Drug 6630                                                                                                             CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1 1
Drug 1346                                                                                                                               C=CC(=O)OC[C@H](CC)CCCC 0
Drug 7151                                                                                                        O=C(C=Cc1ccc(O)c(O)c1)OC1CC(O)(C(=O)O)CC(O)C1O 0
Drug 4316                                                                                                                                      CCN=[N+]([O-])CC 0
Drug 5454                                                                                                                                CC(C)(C)C1CCC2(CC1)CO2 0
Drug 2051                                                                                                                Cc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1 1
Drug 1878                                                                                                           O=C(O)CCC(NC(=O)COc1cc(Cl)c(Cl)cc1Cl)C(=O)O 0
Drug 2144                                                                                                                                     Nc1ccccc1C(F)(F)F 0
Drug 6324                                                                                                       Cc1ccc2cc3c4c(ccc3c3c2c1CC3)C=C[C@@H](O)[C@H]4O 1
Drug 2171                                                                                                                             CC(C)(C)c1c(N)ccc2ccccc12 0
Drug 2445                                                                                                                                      CCCC(=O)OCCC(C)C 0
Drug 6588                                                                                                                                             C=C(Cl)Cl 1
Drug 1579                                                                                                     Nc1ccc(-c2ccc([N+](=O)[O-])cc2N)c([N+](=O)[O-])c1 1
Drug 2564                                                                                                            COC1=CC(=O)c2c(nc(C)c3c2[nH]c2ccccc23)C1=O 1
Drug 5339                                                                                                                                 Clc1ccc2oc3ccccc3c2c1 1
 Drug 776                                                                                                                              O=[N+]([O-])c1ccc(NO)cc1 1
Drug 3575                                                                                                                         N#Cc1cccc(/C=C/c2ccc(N)cc2)c1 1
Drug 6303                                                                                                                           [N-]=[N+]=NC[C@@H](N)C(=O)O 1
Drug 6982                                                                                                                                           C=CC(Cl)CCl 0
 Drug 853                                                                                                                   CC(C)=CCC[C@@](C)(O)[C@H]1CCC=CC1=O 1
Drug 6924                                                                                                                                               CC(O)CN 1
Drug 2643                                                                                                                                        O/N=C/c1ccccn1 0
Drug 4601                                                                                                        O=S(=O)(O)c1c(N=Nc2c(O)ccc3ccccc23)ccc2ccccc12 0
Drug 5222                                                                                                                       NC(CSC(F)(F)C(F)(F)C(F)F)C(=O)O 0
Drug 4062                                                                                                                                   O=C(O)Cc1ccc(Cl)cc1 0
Drug 2013                                                                                                                                CC(=O)OCN(N=O)c1ccccc1 1
Drug 6757                                                                                                                                   Clc1ccc(CCC2CO2)cc1 1
Drug 7161                                                                                                        CC=CC(=O)OC1CC2OC3=CC(C)C(=O)CC3(C)C1(C)C21CO1 0
Drug 3364                                                                                                        O=[N+]([O-])c1cccc2nc3cccc([N+](=O)[O-])c3nc12 1
Drug 5329                                                                                                                       Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1 1
Drug 5851                                                                                                                 O=[N+]([O-])c1c(O)ccc2c1[nH]c1ccccc12 0
Drug 5732                                                                                           O=[N+]([O-])c1ccc(Nc2ncnc3c2ncn3-c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 7389                                                                                                       CC[N+]([O-])(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12 1
Drug 2987                                                                                                                                           ClCc1ccccc1 1
Drug 6844                                                                                                                           c1ccc(Cc2ccc(CC3CO3)cc2)cc1 1
Drug 6005                                                                                                                                       NCCCCC(N)C(=O)O 1
Drug 1026                                                                                                                                           COc1ccccc1N 1
  Drug 29                                                                                                                                       Cc1nc(N)nc(N)n1 0
Drug 5183                                                                                                                                     CC(C)[N+](=O)[O-] 1
Drug 1122                                                                                                                  O=c1oc2cc([N+](=O)[O-])ccc2c2ccccc12 1
Drug 4490                                                                                                                 O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1 0
 Drug 113                                                                                                                                Nc1ccccc1SCCSc1ccccc1N 1
Drug 3004                                                                                                                    CCC(CCC(C)=O)COC(=O)c1ccccc1C(=O)O 0
Drug 2814                                                                                                                  COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 4030                                                                                                             CC1(C)CCCC2(C)C1CCC1(C)C(C=O)C(C=O)=CCC12 0
 Drug 903                                                                                                                                            CC(C)=CC=O 0
Drug 3570                                                                                                                 CC1CC2c3cccc4c3c(cn4C3CCCC3)CC2N(C)C1 1
Drug 7598                                                                                                                           C=C(C)C1CC=C(C)C(OC(C)=O)C1 0
Drug 2050                                                                                                           Cc1c2ccccc2cc2c3c(ccc12)C=C[C@@H](O)[C@H]3O 1
Drug 3503                                                                                                                                            FCC(F)(F)F 0
Drug 4594                                                                                                                             CNC(=O)ON(C(=O)NC)C(=O)NC 0
Drug 1810                                                        O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4ccc(N=Nc5ccc(O)c(C(=O)O)c5)c5cc(S(=O)(=O)O)ccc45)cc3)cc2)ccc1O 1
Drug 1139                                                                                                              CC(=O)OCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O 1
Drug 4403                                                                                                             Cc1cccc2c1cc(C)c1c3c(ccc12)C(O)C(O)C1OC31 1
Drug 7135                                                                                                                         CCCCCCCCCCCC(=O)OCCS(=O)(=O)O 0
Drug 5318                                                                                                             CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21 1
 Drug 680                                                                                       O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1 0
 Drug 863                                                                                                                              Nc1ccc2nc3ccccc3c(N)c2c1 1
Drug 6942                                                                                                                           CCCN(C(N)=NN=O)[N+](=O)[O-] 1
 Drug 972                                                                                                                    c1ccc2c(c1)c1ccccc1c1cc3cnccc3cc21 1
Drug 1050                                                                                                                   O=[N+]([O-])c1ccccc1SSC(Cl)=C(Cl)Cl 1
Drug 1932                                                                          C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO 0
Drug 7026                                                                                                                        CC(=O)Oc1ccc2c(CBr)cc(=O)oc2c1 0
Drug 5811                                                                                                       O=C(O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
Drug 7171                                                                                                                                     C=CC1CCC2(C)OC2C1 0
Drug 5734                                                                                                                      Cc1cccc(C)c1N=Nc1c(O)ccc2ccccc12 0
Drug 4616                                                                                                                       CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1 1
Drug 2768                                                                                                                                    CCCN(CCCC(=O)O)N=O 1
Drug 1651                                                                                                                                   O=C(O)c1cc(Cl)ccc1O 0
Drug 5444                                                                                              [O-][N+](=Nc1ccc2c(c1)Cc1ccccc1-2)c1ccc2c(c1)Cc1ccccc1-2 0
Drug 7102                                                                                                                     CCC1(CC(=O)O)OCCc2c1n(C)c1ccccc21 0
Drug 1785                                                                                                              CC1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1 1
Drug 1697                                                                                                                  Cc1cc2ncccc2c2nc(N=[N+]=[N-])n(C)c12 1
Drug 2551                                                                                                 O=[N+]([O-])c1cc([N+](=O)[O-])c2ccc(S(=O)(=O)O)cc2c1O 1
Drug 2407                                                                                                                       CC1NC(C(=O)O)Cc2c1[nH]c1ccccc21 0
Drug 7133                                                                                                                                      CC(CCN(C)C)N(C)C 0
Drug 5393                                                                                                                      CC(C)NC[C@@H](O)COc1cccc2ccccc12 0
Drug 2047                                                                                                                                O=[N+]([O-])c1ccccc1CO 0
 Drug 867                                                                                                                 COc1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
Drug 1399                                                                                                                    O=[N+]([O-])c1ccc([N+](=O)[O-])cc1 1
Drug 6522                                                                                                      CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO 0
Drug 2449                                                                                                                                      O=CC(Cl)=C(Cl)Cl 1
Drug 5336                                                                                                                                O=P(OCCCl)(OCCCl)OCCCl 0
Drug 5198                                                                                                                                        CC1CCN(N=O)CC1 1
Drug 1205                                                                                                             Cc1cc2ccccc2c2cc([N+](=O)[O-])c3ccccc3c12 1
Drug 4806                                                                                                    COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1(C)C3OC3OC1(C)O2 0
Drug 4520                                                                                                                         CC(C)(N=NC(C)(C)C(=N)N)C(=N)N 1
Drug 3694                                                                                                                                 Nc1ccc(CCc2ccccc2)cc1 1
 Drug 523                                                                                                                CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1 1
Drug 6410                                                                                                                      CC(=O)Nc1ccc2c(c1)Cc1cc(O)ccc1-2 1
Drug 6846                                                                                                             O=c1c2c(O)cccc2oc2c3c(cc(O)c12)OC1OC=CC31 1
Drug 6951                                                                                                                      OCC1OC(n2cnc3c(NO)ncnc32)C(O)C1O 1
Drug 5623                                                                                                                     CC[C@@H](C)Nc1ccc(N[C@H](C)CC)cc1 0
Drug 4248                                                                                                                   CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3 1
Drug 5670                                                                                                                       CCOC(=O)Cc1c(C(=O)O)c2ccccc2n1C 0
Drug 1395                                                                                              C[N+]([O-])=NC[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O 0
Drug 2588                                                                                                                    c1ccc2c(c1)Cc1ccc3ccc4ccccc4c3c1-2 0
Drug 3715                                                                      COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O 0
 Drug 872                                                                                                                  CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 0
Drug 5691                                                                                                              Cc1c2cc(CO)ccc2nc2c3c(ccc12)C(O)C(O)C=C3 1
Drug 2726                                                                          CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSCC1C(=O)NC(C)(C)C 0
Drug 6971                                                                                                                     CNP1(NC)=NP(NC)(NC)=NP(NC)(NC)=N1 0
Drug 2754                                                                                                            OC1C2=c3c(cc4cccc5ccc(c3c54)C1O)-c1ccccc12 0
 Drug 413                                                                                                      O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O 0
Drug 2791                                                                                            C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@@H](O)CC2CC(=O)NC(=O)C2)C1 0
Drug 1723                                                                                                                                 CC(C)CN(CC(C)C)CC(C)C 0
Drug 6110                                                                                                   CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1 0
Drug 3776                                                                                                                              CC(=O)n1ncc(Cl)c(Cl)c1=O 0
Drug 1316                                                                                                                                                 CCC=O 0
Drug 3489                                                                                                                             CNNCc1ccc(C(=O)NC(C)C)cc1 0
 Drug 477                                                                                                                           CC1c2cc(F)ccc2-c2ccc(F)cc21 1
Drug 3639                                                                                                                                               C/C=C/C 0
Drug 6352                                                                                                                                   NC(CS)C(=O)NCC(=O)O 1
Drug 2773                                                                           O=C(/N=c1\sn(C(=O)c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc12)c1ccc(Cl)c(Cl)c1 1
Drug 1833                                                                                                                                         O=C1CSC(=S)N1 0
 Drug 961                                                                                                                                        Clc1cncc(Cl)c1 0
Drug 4049                                                                                                                                       CN(N=O)c1ccncc1 0
Drug 4837                                                                                                          O=[N+]([O-])c1ccc2c3c(c4cccc5ccc1c2c54)CCCC3 1
Drug 4530                                                                                                                                  CC1=C(O)C(=O)C(O)CO1 1
 Drug 840                                                                                      O=C(/C=C\c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@H](O)[C@H]1O 0
Drug 6973                                                                                                                                 O=C(O)c1cc2ccccc2cc1O 0
Drug 5803                                                                                                            CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1 0
Drug 6137                                                                                                                COC(=O)c1oc(NO)c(-c2ccccc2)c1-c1ccccc1 0
 Drug 187                                                                                                                 C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C 1
Drug 3614                                                                                                                     CCCCCCCCCc1ccccc1C(CO)OS(=O)(=O)O 0
Drug 5283                                                                                                                          CNC(=O)Oc1cc2ccccc2c2ccccc12 1
Drug 6375                                                                                                                                  CN(C)N=Nc1ccc(Cl)cc1 1
 Drug 862                                                                                                        OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1 0
 Drug 968                                                                                                                                   CC(=O)N(O)c1ccccc1C 1
Drug 4882                                                                                                                                              C1COCOC1 1
Drug 6049                                                                                                                C[C@@H]1CNC(=O)N1c1ncc([N+](=O)[O-])s1 1
Drug 2985                                                                                                                               N[C@@H]1C[C@H]1c1ccccc1 0
Drug 6372                                                                                                                          COP(=S)(OC)Oc1ccc(N=O)c(C)c1 1
Drug 6151                                                                                                                Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C 0
Drug 6218                                                                                                                    Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1 0
Drug 1274                                                                                                                                  NC(=O)N(CCC(=O)O)N=O 1
 Drug 870                                                                                                                          Cn1cc2ccc([N+](=O)[O-])cc2n1 1
Drug 1896                                                                                                                       O=[N+]([O-])c1ccc2cccc3c2c1C=C3 1
Drug 4069                                                                                                              CC1(CO)C(O)CCC2(C)C1CCC1CC3CC12CCC3(O)CO 0
Drug 7045                                                                                                                                     Nc1ccc(Cl)c(Cl)c1 0
Drug 7033                                                                                                                                       Cc1cnc(C)c(C)n1 0
Drug 4924                                                                                                                      CCCC(=O)OCc1cccc([N+](=O)[O-])c1 0
Drug 2475                                                                                                                                   CCOP(=S)(OCC)OCCSCC 1
Drug 7307                                                                                                      O=C1c2ccccc2C(=O)c2c1ccc(C1OC(CO)C(O)C(O)C1O)c2O 1
Drug 3979                                                                                                                   Cc1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1 0
 Drug 918                                                                                                               COc1cc2oc(-c3ccc(O)cc3)c(O)c(=O)c2cc1OC 0
Drug 1824                                                                                                                      Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1 0
Drug 6707                                                                                                                                    O=C(CCl)NCc1ccccc1 1
 Drug 653                                                                                                                                                 OCCCl 1
Drug 4362                                                                                                            O=[N+]([O-])c1ccc2ccc3c4ccccc4cc4ccc1c2c43 1
Drug 4578                                                                              CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O 1
Drug 1715                                                                                                                   CC(=O)Nc1ccc(Oc2ccc(N(O)C=O)cc2)cc1 1
Drug 4494                                                                                                                 O=[N+]([O-])c1ccc2c(c1)Cc1cccc(O)c1-2 1
Drug 3441                                                                                                                                           OCCN1CCNCC1 0
Drug 3510                                                                                         O=C1C=CC2=[N+]([O-])C(c3ccccc3)(c3ccccc3)/C(=N/c3ccccc3)C2=C1 0
Drug 1955                                                                                                                                            CN(C#N)N=O 1
Drug 1538                                                                                                                      Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1 1
Drug 7036                                                                                            CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CC=C4CC(=O)CCC4=C23)cc1 0
Drug 6691                                                                                                              c1ccc2c(c1)-c1c(c3ccccc3c3ccccc13)C1OC21 1
Drug 3273                                                                                                                             CC(C)NCC(O)c1ccc(O)c(O)c1 0
Drug 4237                                                                                                                                                C1COC1 1
Drug 3555                                                                                                                                           ClCC(Br)CCl 1
