Drug 4811                                                                                                                                                       CCC(=O)N(O)c1ccc2ccccc2c1 1
Drug 2030                                                                                                                                                     Cc1ccc2cc3ccc4ccccc4c3cc2c1 1
Drug 3202                                                                                                                             O=C(CCCl)/N=c1\sn(C(=O)CCCl)c2ccc([N+](=O)[O-])cc12 1
Drug 2448                                                                                                         CCOCn1cc(F)c(=O)n(C(=O)c2cccc(C(=O)Oc3nc(OC(=O)c4ccccc4)ccc3C#N)c2)c1=O 0
Drug 2968                                                                                                                                        N#Cc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 1466                                                                                                                                   COC(=O)Nc1nc2cc(/C(=N/O)c3ccc(F)cc3)ccc2[nH]1 1
Drug 1401                                                                                                                                                                  NC(=O)c1ccccc1 0
Drug 6514                                                                                                                                    CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C 0
  Drug 12                                                                                                                                                       CC(C)CC(=O)Nc1snc2ccccc12 0
Drug 5736                                                                                                                                        O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
 Drug 252                                                                                                                                                          CC1=CC(=O)c2ccccc2C1=O 1
Drug 4437                                                                                                                                            c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56 1
Drug 5031                                                                                                           C[C@H]1C[C@H]2OC(=O)[C@H](C)[C@H]2C[C@@]2(C)[C@H](O)C[C@H](O)C[C@H]12 1
Drug 5774                                                                                                                                                                 CSC(C)(C)/C=N\O 0
Drug 2026                                                                                                                                          O=[N+]([O-])c1cc2ccc3cccc4ccc(c1)c2c34 1
Drug 4923                                                                                                                                                   O=C1Nc2ccc(S(=O)(=O)O)cc2C1=O 1
Drug 3213                                                                                                                                         CC1=C2C(=CC(C)(C)C2O)C(=O)C(C)(O)C12CC2 1
Drug 6123                                                                                                                                    c1ccc2c(c1)-c1cc3c(cc1C1OC21)-c1ccccc1C1OC31 1
Drug 5479                                                                                                                                  CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1 1
Drug 1552                                                                                                                                   CCOP(=S)(OCC)S[C@@H]1OCCO[C@H]1SP(=S)(OCC)OCC 1
Drug 5067                                                                                                                                                                     CC[C@H]1CO1 1
Drug 6378                                                                                                                      CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1 0
 Drug 383                                                                                                                                             CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45 1
Drug 7068                                                                                                               COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1 0
Drug 7106                                                                                                                                               C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N 0
Drug 2364                                                                                                                 O=C(/N=c1\sn(C(=O)c2ccccc2Cl)c2ccc([N+](=O)[O-])cc12)c1ccccc1Cl 1
Drug 3698                                                                                                                                                        CCn1c2ccccc2c2cc(N)ccc21 1
Drug 1361                                                                     Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@@H]3[C@@H](CO)O[C@@H](n4cnc5c(N)ncnc54)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)n1 0
Drug 6724                                                                                                                                       COc1cc2c(c3oc(O)c4c(O)ccc-4c13)C1C=COC1O2 1
Drug 3471                                                                                                                                    CN(C)c1ccc(N(C)C)c2c1C(=O)c1c(O)ccc(O)c1C2=O 1
Drug 2950                                                                                                                               CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CCC12C 0
Drug 3186                                                                                                                                                     CC(=O)Nc1ccc(S(N)(=O)=O)cc1 0
Drug 3682                                                                                                                                               CCCCCCCOc1ccccc1NC(=O)OCCN1CCCCC1 0
Drug 3854                                                                                                                                                       CN(C(=O)CCl)c1snc2ccccc12 0
Drug 3284                                                                                                                                                c1ccc2c(c1)cc1ccc3cccc4ncc2c1c34 1
  Drug 97                                                                                                                             Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1 0
Drug 6371                                                                                                                                                                        OCC(O)CO 0
Drug 1203                                                                                                                                             CC(=O)N1CCC[C@H]1C(=O)N(CC(=O)O)N=O 1
 Drug 631                                                                                                                 ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H](Cl)C=C[C@H]3[C@@]1(Cl)C2(Cl)Cl 0
Drug 6706                                                                                                                                                                 [O-][N+](O)=CCl 1
Drug 6215                                                                                                                                                         CN(C)C(=O)Nc1ccc(Cl)cc1 0
Drug 1931                                                                                                                                                      O=[N+]([O-])c1cnc(CO)n1CCO 1
Drug 4500                                                                                                                                            Cc1cnc2ccc3c(nc(NS(=O)(=O)O)n3C)c2n1 0
Drug 5848                                                                                                                                                                  Clc1ccc(Cl)cc1 0
Drug 2781                                                                                                                                                         Fc1c(F)c(F)c(Cl)c(F)c1F 0
Drug 1198                                                                                                                                                          OCCOc1cc(Cl)c(Cl)cc1Cl 0
Drug 2083                                                                                                                                                                 C=CC1CC2C=CC1C2 0
 Drug 382                                                                                                                                                   Cc1ccc2c(c1)C(C)c1cc(C)ccc1-2 0
 Drug 832                                                                                                                                                       O=C1CCC(=O)N1c1ccc(Cl)cc1 0
Drug 6739                                                                                                                                                                         OCC=CCl 1
Drug 4157                                                                                                                                                        Cc1ccc(C)c2c1ccc1ccccc12 1
Drug 2096                                                                                                                                                                  CN1CCCN(C)C1=O 0
Drug 1977                                                                                                                                                      O=[N+]([O-])c1ccc2ncccc2c1 1
Drug 4341                                                                                                                                                              C[C@H]1CCCN(N=O)C1 1
Drug 4826                                                                                                                                                                 C[N+]1(C)CCOCC1 0
Drug 1514                                                                                                                                                            CC[C@@H](C)c1ccccc1O 0
Drug 4620                                                                                                                                                                   CCc1ccc(C)cc1 0
Drug 7355                                                                                                                                                                    CC(C#N)CCC#N 1
Drug 1183                                                                                                                                                    Brc1c(Br)c(Br)c(Br)c(Br)c1Br 0
Drug 1875                                                                                                                                   O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)CCC=C4 1
Drug 6837                                                                                                                                   CCCCC(CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1 1
Drug 6033                                                                                                                                        CC(=O)Nc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 6730                                                                                                                                           OC1C=Cc2cc3c(cc2C1O)-c1cccc2cccc-3c12 1
Drug 3896                                                                                      COc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(N)ccc4c3O)c(OC)c2)ccc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O 1
Drug 5709                                                                                                                                 NC(CCC(=O)NC(CS/C(Cl)=C/Cl)C(=O)NCC(=O)O)C(=O)O 1
Drug 1620                                                                                                                                                                             CBr 1
Drug 3511                                                                                                                                                              O=C1C=C(CCl)C(O)O1 1
Drug 5846                                                                                                                                                                      COC(=O)CCl 0
Drug 7049                                                                                                                           CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21 0
Drug 6832                                                                                                                                                        N=C1CC(=O)C(=O)c2ccccc21 1
Drug 1791                                                                                                                       COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12 0
Drug 3408                                                                                                                                           CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1 0
Drug 6028                                                                                                                                   CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1 0
Drug 2253                                                                                                                                                   C#CCNC(=NCCSCc1nc[nH]c1C)NC#N 0
Drug 3807                                                                                                                    O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl 0
Drug 2418                                                                                                                                                               OC1C=Cc2ncccc2C1O 0
Drug 5526                                                                                                                                                                   CC1(C2CO2)CO1 1
Drug 2480                                                                                                                                                                     Cc1c[nH]cn1 0
Drug 5511                                                                                                                                                           CN1CCC[C@@H]1c1cccnc1 0
Drug 7064                                                                                                                                                                 CC=C1CC2C=CC1C2 0
Drug 4999                                                                                                                                                       Brc1ccc2c(c1)C=CC1CCCCC21 0
Drug 2072                                                                                                                                                     CC(C)OC(=O)COc1ccc(Cl)cc1Cl 0
Drug 3724                                                                                                                                            O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12 0
Drug 5064                                                                                                                                                                 COc1ccc(CCl)cc1 0
  Drug 55                                                                                                                                         CN(C)CCNC(=O)c1cccc2c1C(=O)c1ccccc1C2=O 1
 Drug 821                                                                                                                                           O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1 1
Drug 3704                                                                                                                                                Cc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
Drug 1428                                                                                                                                     CC[C@@H](C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 4945                                                                                                                                                c1ccc2c(c1)-c1cc3ccccc3cc1C1NC21 1
Drug 7334                                                                                                                                                  NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1 0
Drug 4342                                                                                                      CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O 0
Drug 3941                                                                                                                                                 CC(C)c1cc(N)c([N+](=O)[O-])cc1N 1
 Drug 178                                                                                                                                          O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1 1
Drug 2581                                                                                                                                                O=[N+]([O-])c1ccc(O[C@H]2CO2)cc1 1
Drug 2674                                                                                                                                                                   Cc1ccc(C=O)o1 0
Drug 7279                                                                                                                        COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O 0
  Drug 53                                                                                                                                                      Cc1cc(N)c(S(=O)(=O)O)cc1Cl 0
Drug 4068                                                                                                                        CC(=O)OC1COC(Nc2ccc([N+](=O)[O-])cc2)C(OC(C)=O)C1OC(C)=O 1
Drug 1853                                                                                                                                                          Clc1cccc2cc3ccccc3cc12 0
Drug 4706                                                                                                                                           CN(C)CCNC(=O)c1cccn2c(=O)c3ccccc3nc12 1
Drug 4429                                                                                                                                           CC(=O)ON(OCc1ccc(Cl)cc1)C(=O)c1ccccc1 1
Drug 3047                                                                                                                           CC(C)C(=O)/N=c1\sn(C(=O)C(C)C)c2ccc([N+](=O)[O-])cc12 1
Drug 4683                                                                                                                                                          Oc1c(I)cc(Cl)c2cccnc12 0
 Drug 255                                                                                                                                                  O=C(c1ccc2c(c1)OCO2)[C@@H]1CO1 1
Drug 3530                                                                                                                                              Nc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 6336                                                                                                                                                                 Oc1cccc2ccccc12 0
Drug 2348                                                                                                                                                        Cc1ccc2c(c1)-c1ccccc1C2C 1
Drug 6959                                                                                                                                                            OCC(O)c1oc(O)c(O)c1O 0
Drug 4636                                                                                                          CN1CCN(c2ccc3[nH]c(-c4ccc5[nH]c(-c6ccc(N(CCCl)CCCl)cc6)nc5c4)nc3c2)CC1 0
Drug 6190                                                                                                                                                                         CCC(C)C 0
Drug 2511                                                                                                                                                                    CN(C)CCN(C)C 0
Drug 5573                                                                             O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1 1
 Drug 627                                                                                                                                                 Cc1cc2c3ccccc3cc3ccc4cccc1c4c32 1
Drug 7467                                                                                                                                                 Nc1ccc(-c2ccc(N)c(Cl)c2)c(Cl)c1 1
Drug 3018                                                                                                                                                         Cn1c(N)nc2nc3ccccc3cc21 1
Drug 5726                                                                                                                                                                CNC(=O)Oc1ccccc1 0
Drug 5285                                                                                                                                                c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1 1
Drug 7011                                                                                                                                                     CC(C)NCC(O)COc1cccc2ccccc12 0
Drug 1289                                                                                                                                                            Nc1nc(N)c2[nH]cnc2n1 0
Drug 2955                                                                                                                                             C1=Cc2cc3cccc4c5ccccc5c5ccc1c2c5c34 1
 Drug 591                                                                                                                                                                  CC(=O)c1ccccn1 0
Drug 6385                                                                                                                                                                       CCOC(N)=O 1
Drug 2363                                                                                                                                   COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)C1CCOC1O4 0
Drug 6188                                                                                                                                                    N/N=C1\N=NC=C2C=CC=C[C@@H]21 1
Drug 4980                                                                                                                                                            CN1C(=O)CCC1c1cccnc1 0
Drug 5413                                                                                                                                                     CN(C)c1nc(N(C)C)nc(N(C)C)n1 0
Drug 1132                                                                                                                                                     CC(C)(C)CC(C)(C)c1ccc(O)cc1 0
Drug 4185                                                                                                                                              c1ccc2cc3c(ccc4c5ccccc5ccc34)cc2c1 0
Drug 5715                                                                                                                                                     Cc1cccc2ccc3c4ccccc4ccc3c12 1
Drug 7526                                                                                                                                             c1ccc2c(c1)ccc1c3ccccc3c(C3CO3)cc21 1
Drug 5621                                                                                                                                               O=C1C=Cc2c(ccc3cc4ccccc4cc23)C1=O 0
Drug 5823                                                                                                                                                   Cc1ccc2nc3c(ccc4ccccc43)cc2c1 1
Drug 5730                                                                         COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 0
Drug 5231                                                                                                                                          CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1 0
Drug 5799                                                                                                                                       CC(CCC(=O)O)C1CCC2C3CCc4cc(O)ccc4C3CCC12C 0
Drug 6182                                                                                                                                             Nc1ccn([C@@H]2CC[C@H](CO)O2)c(=O)n1 1
Drug 1676                                                                                                                                                CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1 1
 Drug 573                                                                                                                                                     COc1c(C(=O)O)c(O)nc2ccccc12 0
Drug 7051                                                                                                                                                       C[N+]1([O-])CCCC1c1cccnc1 0
Drug 3793                                                                                                                                    CCCCCCCCCCCCCC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 5986                                                                                                                   CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C 0
Drug 1584                                                                                                                                   N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1 1
 Drug 485                                                                                                                                                         CC(C)(C)OOC(=O)c1ccccc1 1
 Drug 305                                                                                                                                                                      CNc1ccccc1 0
Drug 4740                                                                                                                                                                CCN(N=O)c1ccccc1 0
Drug 6084                                                                                                                                                               CCOc1cc(C=O)ccc1O 0
Drug 3521                                                                                                                                             O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1 0
Drug 4890                                                                                                                                                   CN(C)CCCN1c2ccccc2CCc2ccccc21 0
Drug 3098                                                                                                                                          Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 5891                                                                                                                                             CCCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 3042                                                                                                                                                    c1ccc(-c2ccccc2-c2ccccc2)cc1 0
Drug 4810                                                                                                                                                      C=COc1ccc([N+](=O)[O-])cc1 1
Drug 3616                                                                                                                                                                          IC(I)I 1
Drug 4647                                                                                                                                        O=[N+]([O-])c1ccc2c(ccc3c4ccccc4ccc23)c1 1
Drug 6163                                                                                                                                     O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O 1
Drug 1609                                                                                                                                                c1cc2c3c(cccc3c1)[C@H]1N[C@@H]21 1
Drug 4232                                                                                                                                                         O=[N+]([O-])C(Br)(CO)CO 0
Drug 5636                                                                                                                                                   Oc1c2ccccc2nc2ccc3c(c12)OCCO3 1
 Drug 943                                                                                                                                                               C[N+](C)(C)CC1CO1 1
Drug 3841                                                                                                                              O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCc1ccccc1-3 1
Drug 2914                                                                                                                                                        Cc1cc(N=Nc2ccccc2C)ccc1N 1
Drug 5547                                                                                                                                                            O=NN(CCCl)C(=O)NCCCl 1
 Drug 258                                                                                CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(O)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC 1
Drug 2861                                                                                                                                                    c1cnc2c(c1)ccc1c3cccnc3ccc12 1
Drug 2198                                                                                                                             CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC 0
Drug 1637                                                                                                                                              CN(C)c1ccc(N=Nc2ccc3[nH]ncc3c2)cc1 1
Drug 4344                                                                                                                                 O=[N+]([O-])c1ccc(-c2nc(N(CCO)CCO)c3ccccc3n2)s1 1
Drug 2756                                                                                                                                                              Fc1cnc2cccc(F)c2c1 0
 Drug 540                                                                                                                                                          Cc1ccc(N(CCCl)CCCl)cc1 0
Drug 2295                                                                                                                                                                 C=CCc1ccc(O)cc1 0
Drug 2245                                                                                                                                          O=c1oc2cccc(O)c2cc1[C@@H]1CCc2ccccc2C1 0
Drug 4150                                                                                                                                               OC1c2ccccc2-c2cc3ccccc3c(Br)c2C1O 0
Drug 1032                                                                                                                                                   Nc1ccccc1C(=O)OC/C=C/c1ccccc1 0
Drug 6146                                                                                                                                             O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-] 1
Drug 3700                                                                                                                                              CNc1ccc(NCCO)c2c1C(=O)c1ccccc1C2=O 1
Drug 2560                                                                                                                                                        c1ccc(-c2nc3ccccc3o2)cc1 0
Drug 6865                                                                                                                                     COC(=COC(N)=O)c1c(O)c(N2CC2)c(C)c(O)c1N1CC1 1
Drug 1892                                                                                                                                                  Cc1cc2c(O)cccc2c2cc3ccccc3cc12 1
Drug 1113                                                                                                                                             C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C 0
 Drug 914                                                                                                              CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CSC12)c1csc(N)n1 0
 Drug 615                                                                                                                                                                  Nc1nc2ccccc2s1 0
Drug 1134                                                                                                                                                                Cc1cc(C)c(N)cc1C 1
Drug 3429                                                                                                                                         Oc1ccc2c(c1)-c1cc3cccc4ccc5ccc-2c1c5c43 1
Drug 1405                                                                                                                                               CN(C)CCNC(=O)c1cccc2nc3ccccc3nc12 1
Drug 5570                                                                                                                                                                       CN1CCNCC1 0
Drug 6953                                                                                                                                              CC1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1 1
