                                                           nafimidone                                                                                                                                                                                                                                                                                                                        O=C(Cn1ccnc1)c1ccc2ccccc2c1 1
                                                             cefotiam                                                                                                                                                                                                                                                                              CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1 0
                                                          ondansetron                                                                                                                                                                                                                                                                                                                  Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O 1
                                                         promethazine                                                                                                                                                                                                                                                                                                                     CC(CN1c2ccccc2Sc2ccccc21)N(C)C 1
                                              betamethasone-acibutate                                                                                                                                                                                                                                                C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO 1
                                                paramethasone-acetate                                                                                                                                                                                                                                                  CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                          cetocycline                                                                                                                                                                                                                                                                          CC(=O)C1=C(O)[C@@]2(O)C(=O)c3c(c(C)c4ccc(C)c(O)c4c3O)C[C@H]2[C@@H](N)C1=O 0
                                                           Phenserine                                                                                                                                                                                                                                                                                                CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)[C@@H]12 1
                                                            rifabutin                                                                                                                                                                                  CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O 0
                                                             Thiotepa                                                                                                                                                                                                                                                                                                                             S=P(N1CC1)(N1CC1)N1CC1 1
                                                       Hydrocortisone                                                                                                                                                                                                                                                                        C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO 0
                                                            deprodone                                                                                                                                                                                                                                                                                                    CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C 1
                                                                  11a                                                                                                                                                                                                                                                                                                                      CN(C)c1cc(-c2nc(N)n[nH]2)ccn1 0
                                                         cyclopregnol                                                                                                                                                                                                                                                                               CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@@H](O)C45CC4CC[C@]5(C)[C@H]3CC[C@]12C 1
                                    ticabesone(ticabesone-propionate)                                                                                                                                                                                                                                                           CCC(=O)O[C@]1(C(=O)SC)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                       methastyridone                                                                                                                                                                                                                                                                                                                     CC1(C)NC(=O)C(/C=C/c2ccccc2)O1 1
                                                           droperidol                                                                                                                                                                                                                                                                                                 O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1 1
                                                             ropizine                                                                                                                                                                                                                                                                                                      Cc1cccc(/C=N/N2CCN(C(c3ccccc3)c3ccccc3)CC2)n1 1
                                                       Norepinephrine                                                                                                                                                                                                                                                                                                                               NCC(O)c1ccc(O)c(O)c1 0
                                                           fluprazine                                                                                                                                                                                                                                                                                                              NC(=O)NCCN1CCN(c2cccc(C(F)(F)F)c2)CC1 1
                                                             androsan                                                                                                                                                                                                                                                                                      C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C 0
                                                             rifampin                                                                                                                                                                                                                                   COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C 0
                                                          acetorphine                                                                                                                                                                                                                                                                            CCC[C@@](C)(O)[C@H]1CC23C=CC1(OC)[C@H]1Oc4c(OC(C)=O)ccc5c4C12CCN(C)C3C5 1
                                                          zoniclezole                                                                                                                                                                                                                                                                                                                       CC(c1noc2ccc(Cl)cc12)n1ccnc1 1
                                                           nordazepam                                                                                                                                                                                                                                                                                                                   O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1 1
                                                        demexiptiline                                                                                                                                                                                                                                                                                                                       CNCCON=c1c2ccccc2ccc2ccccc12 1
                                                          cloxacillin                                                                                                                                                                                                                                                                             Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12 1
                                                            Cortisone                                                                                                                                                                                                                                                                           C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO 0
                                                          efrotomycin                                                                                                                                                                                        C/C=C/C=C/C1OC(O)(C(CC)C(=O)NC/C=C/C=C(\C)C(OC)C(C)C2OC(/C=C/C=C/C=C(\C)C(=O)c3c(O)n(C)ccc3=O)C(O)C2O)C(O)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1(C)C 0
                                                           prothixene                                                                                                                                                                                                                                                                                                                      CN(C)CCC=C1c2ccccc2Sc2ccccc21 1
                                                          drocinonide                                                                                                                                                                                                                                                                   CC1(C)O[C@@H]2C[C@H]3C4CCC5CC(=O)CCC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1 1
                                                           amcinonide                                                                                                                                                                                                                                              CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                                            cefaloram                                                                                                                                                                                                                                                                                        CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1 0
                                                           pyridarone                                                                                                                                                                                                                                                                                                                           c1ccc2oc(-c3ccncc3)cc2c1 1
                                                          xantocillin                                                                                                                                                                                                                                                                                              [C-]#[N+]C(=C\c1ccc(O)cc1)/C(=C/c1ccc(O)cc1)[N+]#[C-] 0
                                                             oxazepam                                                                                                                                                                                                                                                                                                                  O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O 1
                                                            Econazole                                                                                                                                                                                                                                                                                                            Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
                                                            memantine                                                                                                                                                                                                                                                                                                                        CC12CC3CC(C)(C1)CC(N)(C3)C2 1
                                                           dabelotine                                                                                                                                                                                                                                                                                                                        CN1CCCc2cccc(OCC3CNCCO3)c21 1
                                                            efetozole                                                                                                                                                                                                                                                                                                                               Cc1nccn1C(C)c1ccccc1 1
                                                          pheneturide                                                                                                                                                                                                                                                                                                                          CCC(C(=O)NC(N)=O)c1ccccc1 1
                                                         elopiprazole                                                                                                                                                                                                                                                                                                   Fc1ccc(-c2ccc(CN3CCN(c4cccc5ccoc45)CC3)[nH]2)cc1 1
                                                         metralindole                                                                                                                                                                                                                                                                                                                   COc1ccc2c(c1)c1c3n2CCN(C)C3=NCC1 1
                                                           ulobetasol                                                                                                                                                                                                                                                                                         CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl 1
                                                            glyburide                                                                                                                                                                                                                                                                                           COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1 1
acetylmethadol/levacetylmethadol/alphacetylmethadol/betacetylmethadol                                                                                                                                                                                                                                                                                                        CCC(OC(C)=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1 1
                                                         oleandomycin                                                                                                                                                                                                                COC1CC(O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](OC3OC(C)CC(N(C)C)C3O)[C@H]2C)OC(C)C1O 0
                                           triamcinolone-hexacetonide                                                                                                                                                                                                                                        CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                                           nitrafudam                                                                                                                                                                                                                                                                                                               N=C(N)c1ccc(-c2ccccc2[N+](=O)[O-])o1 1
                                                      tranylcypromine                                                                                                                                                                                                                                                                                                                 N[C@@H]1C[C@H]1c1ccccc1.[Cl-].[H+] 1
                                                        isocarboxazid                                                                                                                                                                                                                                                                                                                         Cc1cc(C(=O)NNCc2ccccc2)no1 1
                                                        Dexamfetamine                                                                                                                                                                                                                                                                                                                                 C[C@H](N)Cc1ccccc1 1
                                                           prolintane                                                                                                                                                                                                                                                                                                                             CCCC(Cc1ccccc1)N1CCCC1 1
                                                        nitrous-oxide                                                                                                                                                                                                                                                                                                                                        [N-]=[N+]=O 1
                                                           nonaperone                                                                                                                                                                                                                                                                                                                 O=C(CCCN1CC2CCC(CC2)C1)c1ccc(F)cc1 1
                                                           fluacizine                                                                                                                                                                                                                                                                                                       CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21 1
                                                       proscillaridin                                                                                                                                                                                                                                                  CC1OC(O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)C(O)C(O)C1O 0
                                                            picenadol                                                                                                                                                                                                                                                                                                               CCC[C@]1(c2cccc(O)c2)CCN(C)C[C@@H]1C 1
                                                          loreclezole                                                                                                                                                                                                                                                                                                                     Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl 1
                                                          propyperone                                                                                                                                                                                                                                                                                                     CCC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                                          doxibetasol                                                                                                                                                                                                                                                            CC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                           dimethazan                                                                                                                                                                                                                                                                                                                   CN(C)CCn1cnc2c1c(=O)n(C)c(=O)n2C 1
                                                           GR89696_pr                                                                                                                                                                                                                                                                                           CCCOC(=O)N1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)[C@@H](CN2CCCC2)C1 1
                                                             Org30526                                                                                                                                                                                                                                                                                                             Clc1ccc2c(c1)[C@H]1CNC[C@H]1c1ccccc1O2 1
                                                           xaliproden                                                                                                                                                                                                                                                                                                      FC(F)(F)c1cccc(C2=CCN(CCc3ccc4ccccc4c3)CC2)c1 1
                                                       Flucloxacillin                                                                                                                                                                                                                                                                          Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12 0
                                                           remacemide                                                                                                                                                                                                                                                                                                                    CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1 1
                                                      dichlormezanone                                                                                                                                                                                                                                                                                                              CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)c(Cl)c1 1
                                                            nerisopam                                                                                                                                                                                                                                                                                                            COc1cc2c(cc1OC)C(c1ccc(N)cc1)=NN=C(C)C2 1
                                                        nicocortonide                                                                                                                                                                                                                                                C/C=C\C1O[C@]2(C(=O)COC(=O)c3ccncc3)CC[C@@]3(O1)[C@@H]1CCC4=CC(=O)CC[C@]4(C)[C@H]1[C@@H](O)C[C@]23C 1
                                                             mesocarb                                                                                                                                                                                                                                                                                                        CC(Cc1ccccc1)n1cc([N-]C(=O)Nc2ccccc2)[o+]n1 1
                                                             losartan                                                                                                                                                                                                                                                                                                 CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1 0
                                                          fluticasone                                                                                                                                                                                                                                                                                         CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)SCF 1
                                                      cyclobenzaprine                                                                                                                                                                                                                                                                                                                    CN(C)CCC=C1c2ccccc2C=Cc2ccccc21 1
                                                           azipramine                                                                                                                                                                                                                                                                                                          CN(CCc1cc2cccc3c2n1-c1ccccc1CC3)Cc1ccccc1 1
                                                           budesonide                                                                                                                                                                                                                                                          CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1 1
                                                          nimetazepam                                                                                                                                                                                                                                                                                                      CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21 1
                                                  sulthiame(sultiame)                                                                                                                                                                                                                                                                                                                 NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1 1
                                                          deserpidine                                                                                                                                                                                                                                                 COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 1
                                                      3-methylpentane                                                                                                                                                                                                                                                                                                                                           CCC(C)CC 1
