  CHEMBL47406                                                                                                                                                                                                                                                           COC(=O)COc1ccc(O)cc1 0.0
 CHEMBL518760                                                                                                                                                                                                                             COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN1CCCCC1 1.0
 CHEMBL141157                                                                                                                                                                                              C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O 1.0
CHEMBL2153178                                                                                                                                                                                                                        CCCSc1ncccc1C(=O)N[C@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2 1.0
CHEMBL1307677                                                                                                                                                                                                                                                  CC(=O)c1noc(C)c1C(=O)Nc1nccs1 1.0
CHEMBL2177608                                                                                                                                                                                                                     CC1(c2c(C(=O)NC3C4CC5CC(C4)CC3C5)cnn2-c2ccc(C(=O)O)cc2)CC1 1.0
CHEMBL2171992                                                                                                                                                                                                                   COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)CC2)cc1 1.0
CHEMBL2088115                                                                                                                                                                                                           C#CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O 1.0
 CHEMBL487066                                                                                                                                                                                                                               Cc1ncc(-c2ccnc(Nc3ccc(C(=O)NC4CC4)cc3)n2)n1C(C)C 1.0
    CHEMBL130                                                                                                                                                                                                                           O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl 1.0
CHEMBL2062566                                                                                                                                                                                                                             CC(=O)Nc1ccc2c(c1)N(c1cc(NC3CC3)n3ncc(C#N)c3n1)CC2 1.0
CHEMBL2088091                                                                                                                                                                                                                                       Cc1cc(CNc2ncc(Br)c(Nc3cc(C)[nH]n3)n2)on1 1.0
 CHEMBL540930                                                                                                                                                                                                O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1c[nH]c(=O)c(Cl)c1 1.0
CHEMBL1809044                                                                                                                                                                                                                      COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1 1.0
CHEMBL1489473                                                                                                                                                                                                                                               O=C(Nc1nc(-c2ccccc2)cs1)c1cccnc1 1.0
CHEMBL1809064                                                                                                                                                                                                                COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1 1.0
CHEMBL1387125                                                                                                                                                                                                                                              CCn1c(=O)c2c(=O)cc(O)oc2c2ccccc21 1.0
CHEMBL1945291                                                                                                                                                                                                                  COc1ccccc1CN(C)Cc1cccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)c1 1.0
CHEMBL1682944                                                                                                                                                                                                                  CC[C@H](NC(=O)c1c(CS(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1 1.0
CHEMBL2158779                                                                                                                                                                                                                  O=C(O)[C@H](Cc1ccc(F)cc1)N1CCC(CN2CCC(Oc3ccc(Cl)cc3Cl)CC2)CC1 1.0
CHEMBL1529362                                                                                                                                                                                                                                                            Nc1nnc(-c2ccccc2)s1 1.0
 CHEMBL401158                                                                                                                                                                                                                      CCCCNc1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O 1.0
CHEMBL2010848                                                                                                                                                                                                           CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cn2)C[C@@H]1F 1.0
 CHEMBL576068                                                                                                                                                                                                                                 Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)cnc2C)n[nH]1 1.0
CHEMBL1426965                                                                                                                                                                                                                                               FC(F)(F)c1nnc2ccc(N3CCCCCC3)nn12 1.0
 CHEMBL320777                                                                                                                                                                                                                               O=S(=O)(CCCOCCNc1ccccc1)CCNCCc1ccc(O)c2nc(O)sc12 1.0
 CHEMBL140689                                                                                                                                                                                                                                        CCn1c(=O)ccc2cnc(Nc3ccc(OC)c(OC)c3)nc21 1.0
 CHEMBL320876                                                                                                                                                                   COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O 0.0
 CHEMBL146855                                                                                                                                                                                                                                                        Cc1cccc(C)c1OC[C@H](C)N 0.0
 CHEMBL226781                                                                                                                                                                                                                         O=c1[nH]n(CC#Cc2ccccc2)c(=O)c2c(=O)c3ccc(Cl)cc3[nH]c12 1.0
CHEMBL2088101                                                                                                                                                                                                                                           Cc1cc(Nc2nc(NCc3ccccn3)ncc2Br)n[nH]1 1.0
CHEMBL1890087                                                                                                                                                                                                                                                CC(C)Nc1nc(NCc2ccccc2)c2sccc2n1 1.0
    CHEMBL480                                                                                                                                                                                                                               Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1 1.0
CHEMBL1289113                                                                                                                                                                                                                                        O=C(COCc1ccncc1)N1CCN(c2ccc(F)cc2Cl)CC1 1.0
 CHEMBL130873                                                                                                                                                                                                        COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(C(=O)NCCc3ccccc3)cc12 1.0
 CHEMBL503605                                                                                                                                                                                                                                              O=C(c1cc2cc(Cl)ccc2[nH]1)N1CCNCC1 1.0
CHEMBL2035038                                                                                                                                                                                                                                NC1(c2ccc(-c3nc4ccccc4c(=O)n3-c3ccccc3)cc2)CCC1 1.0
 CHEMBL225510                                                                                                                                                                                                                                                      O=S(=O)(Nc1cccnc1)c1cccs1 0.0
CHEMBL1327979                                                                                                                                                                                                                                             Nc1nc2nc(-c3cccs3)cc(C(F)(F)F)n2n1 1.0
CHEMBL2164687                                                                                                                                                                                                               N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ccc(Cl)cc4c3C2)CC1 1.0
    CHEMBL549                                                                                                                                                                                                                                        CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21 1.0
CHEMBL1078411                                                                                                                                                                                                                             N#C[C@@]1(NC(=O)[C@@H](N)Cc2cccs2)C[C@@H]1c1ccccc1 1.0
 CHEMBL107313                                                                                                                                                                                                                                      CCCc1cc(C2=N[C@@H](C(=O)NO)CO2)cc(OC)c1OC 1.0
CHEMBL2086678                                                                                                                                                                                                                                 COc1cnccc1COc1cnc(N2CCN(C(=O)OC(C)(C)C)CC2)nc1 1.0
 CHEMBL571526                                                                                                                                                                                                                             Cc1cc(Nc2nc(O[C@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1 1.0
  CHEMBL63323                                                                                                                                                                                                                                              O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1 0.0
CHEMBL2325742                                                                                                                                                                                                                       C[C@@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 1.0
 CHEMBL291666                                                                                                                                                                                                                               COc1ccc(-c2cc(NC(=O)Cc3ccc4ccccc4c3)[nH]n2)cc1OC 1.0
CHEMBL2158832                                                                                                                                                                                                                        O=C(O)c1cccc(CN2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1 1.0
CHEMBL1712280                                                                                                                                                                                                                                                 c1ccc(N2CC3COc4ccccc4C3=N2)cc1 1.0
CHEMBL2325706                                                                                                                                                                                                                      CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CCNCC1 0.0
