                                              cintriamide(cintramide)                                                                                                                                                                                                                                                                                                                      COc1cc(/C=C/C(N)=O)cc(OC)c1OC 1
                                                          desciclovir                                                                                                                                                                                                                                                                                                                              Nc1ncc2ncn(COCCO)c2n1 1
                                                         Cyclopropane                                                                                                                                                                                                                                                                                                                                              C1CC1 1
                                                            lidocaine                                                                                                                                                                                                                                                                                                                         CCN(CC)CC(=O)Nc1c(C)cccc1C 1
                                                          fenadiazole                                                                                                                                                                                                                                                                                                                            O=C1C=CC=C/C1=C1/NN=CO1 1
                                                       clofibric acid                                                                                                                                                                                                                                                                                                                         CC(C)(Oc1ccc(Cl)cc1)C(=O)O 0
                                                               harman                                                                                                                                                                                                                                                                                                                            Cc1nccc2c1[nH]c1ccccc12 1
                                      pentylenetetrazole(pentetrazol)                                                                                                                                                                                                                                                                                                                                     C1CCc2nnnn2CC1 1
                                                           pipofezine                                                                                                                                                                                                                                                                                                                 CN1CCN(c2cc3c(nn2)Oc2ccccc2N3C)CC1 1
                                                            amrubicin                                                                                                                                                                                                                                                  CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O.[Cl-].[H+] 0
                                                                Y-G16                                                                                                                                                                                                                                                                                                                                         NCCc1nccs1 1
                                                            pergolide                                                                                                                                                                                                                                                                                                 CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21 1
                                                          famciclovir                                                                                                                                                                                                                                                                                                              CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O 1
                                                             Busulfan                                                                                                                                                                                                                                                                                                                         CS(=O)(=O)OCCCCOS(C)(=O)=O 1
                                                           oxypertine                                                                                                                                                                                                                                                                                                      COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC 1
                                                           fluazacort                                                                                                                                                                                                                                                                                CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)[C@@]3(F)C(O)CC12C 1
                                    ticabesone(ticabesone-propionate)                                                                                                                                                                                                                                                           CCC(=O)O[C@]1(C(=O)SC)[C@H](C)CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                           nafimidone                                                                                                                                                                                                                                                                                                                        O=C(Cn1ccnc1)c1ccc2ccccc2c1 1
                                                            prazepine                                                                                                                                                                                                                                                                                                                      CN(C)CCCN1c2ccccc2CCc2ccccc21 1
                                              betamethasone-acibutate                                                                                                                                                                                                                                                C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO 1
                                                       Norepinephrine                                                                                                                                                                                                                                                                                                                               NCC(O)c1ccc(O)c(O)c1 0
                                                             talbutal                                                                                                                                                                                                                                                                                                                     C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O 1
                                                           gentamicin                                                                                                                                                                                                                                                                                          CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1 0
                                                           budesonide                                                                                                                                                                                                                                                          CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1 1
                                                          fencamfamin                                                                                                                                                                                                                                                                                                                           CCNC1C2CCC(C2)C1c1ccccc1 1
                                                            donepezil                                                                                                                                                                                                                                                                                           COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.[Cl-].[H+] 1
                                                           ketazocine                                                                                                                                                                                                                                                                                                        CC1[C@H]2C(=O)c3ccc(O)cc3[C@]1(C)CCN2CC1CC1 1
                                                           fluoxetine                                                                                                                                                                                                                                                                                                                 CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1 1
                                                       homprenorphine                                                                                                                                                                                                                                                                                         CCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(OC)ccc5c4C12CCN(CC1CC1)C3C5 1
                                                         valnoctamide                                                                                                                                                                                                                                                                                                                                  CCC(C)C(CC)C(N)=O 1
                                                           fenaperone                                                                                                                                                                                                                                                                                                        O=C(CCCN1CCN(C(=O)OC2CCCCC2)CC1)c1ccc(F)cc1 1
                                                             coumarin                                                                                                                                                                                                                                                                                                                                   O=c1ccc2ccccc2o1 0
                                                            rimcazole                                                                                                                                                                                                                                                                                                               CC1CN(CCCn2c3ccccc3c3ccccc32)CC(C)N1 1
                                                     prochlorperazine                                                                                                                                                                                                                                                                                                             CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1 1
                                                          proxibarbal                                                                                                                                                                                                                                                                                                                     C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O 1
                                                             Org32104                                                                                                                                                                                                                                                                                                                    Cc1cccc2c1Oc1ccccc1C1(O)CCNCC21 1
                                                            dexclamol                                                                                                                                                                                                                                                                                            CC(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc(c43)[C@H]2C1 1
                                                        acetaminophen                                                                                                                                                                                                                                                                                                                                 CC(=O)Nc1ccc(O)cc1 1
                                                    cefcanel-daloxate                                                                                                                                                                                                                                                                   Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(NC(=O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1 0
                                                           mecillinam                                                                                                                                                                                                                                                                                               CC1(C)S[C@@H]2[C@H](N=CN3CCCCCC3)C(=O)N2[C@H]1C(=O)O 0
                                                            pipradrol                                                                                                                                                                                                                                                                                                                     OC(c1ccccc1)(c1ccccc1)C1CCCCN1 1
                                                            rifamycin                                                                                                                                                                                                        CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C 0
                                                           Famotidine                                                                                                                                                                                                                                                                                                               NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1 1
                                                            oxisopred                                                                                                                                                                                                                                                                                    COC(=O)[C@@]1(O)CC[C@H]2C3CCC(=O)C4C(=O)C=CC4(C)[C@H]3C(O)CC21C 1
                                                         dimethadione                                                                                                                                                                                                                                                                                                                                  CC1(C)OC(=O)NC1=O 1
                                                            axamozide                                                                                                                                                                                                                                                                                                    O=c1[nH]c2cc(Cl)ccc2n1C1CCN(CC2COc3ccccc3O2)CC1 1
                                                            molindone                                                                                                                                                                                                                                                                                                               CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2 1
                                                           rufloxacin                                                                                                                                                                                                                                                                                                      CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1 0
                                                             propofol                                                                                                                                                                                                                                                                                                                              CC(C)c1cccc(C(C)C)c1O 1
               beclomethasonedipropionate(beclometasone-dipropionate)                                                                                                                                                                                                                                            CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C 1
                                                    cefuroxime-axetil                                                                                                                                                                                                                                                                      CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OC(C)OC(C)=O)=C(COC(N)=O)CS[C@H]12)c1ccco1 0
                                                           dixyrazine                                                                                                                                                                                                                                                                                                         CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21 1
                                                           pivenfrine                                                                                                                                                                                                                                                                                                                    CNCC(O)c1cccc(OC(=O)C(C)(C)C)c1 0
                                                              GR88377                                                                                                                                                                                                                                                                                                    O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2occc2[C@H]1CN1CCCC1 1
                                                           etrabamine                                                                                                                                                                                                                                                                                                                                    CNC1CCc2ncsc2C1 1
                                                           hetacillin                                                                                                                                                                                                                                                                             CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O 0
                                                           roxoperone                                                                                                                                                                                                                                                                                                       CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O 1
                                                        amitriptyline                                                                                                                                                                                                                                                                                                                     CN(C)CCC=C1c2ccccc2CCc2ccccc21 1
                                                         remifentanil                                                                                                                                                                                                                                                                                                     CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1 1
                                                          fenmetozole                                                                                                                                                                                                                                                                                                                           Clc1ccc(OCC2=NCCN2)cc1Cl 1
                                                        demexiptiline                                                                                                                                                                                                                                                                                                                       CNCCON=c1c2ccccc2ccc2ccccc12 1
                                             cyproximide(ciproximide)                                                                                                                                                                                                                                                                                                                     O=C1NC(=O)C2(c3ccc(Cl)cc3)CC12 1
                                                          Albendazole                                                                                                                                                                                                                                                                                                                     CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1 1
                                                         methacycline                                                                                                                                                                                                                                                       C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(=O)/C(=C(/N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12 0
                                                      fludrocortisone                                                                                                                                                                                                                                                                     C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO 1
                                                          propizepine                                                                                                                                                                                                                                                                                                                CC(CN1C(=O)c2cccnc2Nc2ccccc21)N(C)C 1
                                                             clobazam                                                                                                                                                                                                                                                                                                             CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21 1
                                                            amcinafal                                                                                                                                                                                                                                                               CCC1(CC)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1 1
                                                         fluperlapine                                                                                                                                                                                                                                                                                                               CN1CCN(C2=Nc3cc(F)ccc3Cc3ccccc32)CC1 1
                                                        phenmetrazine                                                                                                                                                                                                                                                                                                                                  CC1NCCOC1c1ccccc1 1
                                                           romifidine                                                                                                                                                                                                                                                                                                                             Fc1cccc(Br)c1NC1=NCCN1 1
                                                             mazindol                                                                                                                                                                                                                                                                                                                 OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21 1
