CHEMBL1831214                                                                                                                                                                                                                                                NC(=O)Nc1cc(-c2ccccc2)sc1C(N)=O 1.0
CHEMBL1173055                                                                                                                                                                                                                                      CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1 1.0
CHEMBL1951073                                                                                                                                                                                                                                COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(C)=O 1.0
CHEMBL2164674                                                                                                                                                                                                                                 N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCc2ccccc2C1 1.0
    CHEMBL135                                                                                                                                                                                                                           C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O 1.0
CHEMBL2346968                                                                                                                                                                                                                                  Fc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1 1.0
CHEMBL2178935                                                                                                                                                                                                                       Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(N)=O)CC3)cc2)nc1C(N)=O 1.0
CHEMBL2207670                                                                                                                                                                                                 CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1 1.0
 CHEMBL370492                                                                                                                                                                                                                           CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1 1.0
CHEMBL1829257                                                                                                                                                                                                                          CCC(c1nc2ccsc2c(=O)n1Cc1cscn1)N(CCCN)C(=O)c1ccc(C)cc1 0.0
CHEMBL1881943                                                                                                                                                                                                                                            NC(=O)c1ccc(=O)n(Cc2ccc(Cl)cc2Cl)c1 1.0
CHEMBL2164682                                                                                                                                                                                                                   N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4ccccc4c3C2)CC1 1.0
   CHEMBL6399                                                                                                                                                                                                                                        CN(C)c1cccc2c(S(=O)(=O)Nc3cnccn3)cccc12 0.0
CHEMBL2331753                                                                                                                                                                                                    Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O 1.0
CHEMBL1576727                                                                                                                                                                                                                                    COc1ccc(C(=O)C2CCN(C(=O)c3ccc(F)cc3)CC2)cc1 1.0
 CHEMBL518760                                                                                                                                                                                                                             COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1NCCN1CCCCC1 1.0
CHEMBL1824363                                                                                                                                                                                                                               O=C(Nc1cccc(O)c1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccc1 1.0
 CHEMBL216053                                                                                                                                                                                                             COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN(CCO)CC(C)C 1.0
CHEMBL1164033                                                                                                                                                                                                                         CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(C(F)(F)F)cc2Cl)ccc1Cl 1.0
CHEMBL1824379                                                                                                                                                                                                                                     CCCOc1cc(OCCCN2CCCC2)ccc1C(=O)Nc1cccc(O)c1 1.0
 CHEMBL191974                                                                                                                                                                                                                                                  Oc1ccc(-c2ccc3cc(O)ccc3c2)cc1 1.0
 CHEMBL387675 CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C 0.0
CHEMBL1946028                                                                                                                                                                                                                      O=C(c1ccc(C(=C2CCN(Cc3cscn3)CC2)c2cccc3cccnc23)cc1)N1CCC1 1.0
   CHEMBL1726                                                                                                                                                                                                                      COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-] 1.0
 CHEMBL263655                                                                                                                                                                                                                                                         Cn1sc(NCc2ccccc2)nc1=O 1.0
CHEMBL2059871                                                                                                                                                                                                                     Cc1ccc(-c2cc(C(F)(F)F)n[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1 1.0
CHEMBL2058280                                                                                                                                                                                                                                  Nc1scc2c(C(=O)NC3CC3)nn(-c3ccc(F)cc3)c(=O)c12 1.0
CHEMBL2158824                                                                                                                                                                                                                         O=C(O)c1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1 1.0
 CHEMBL109244                                                                                                                                                                                                                                    O=C(NCCCCCCNCCc1ccc(O)c2nc(O)sc12)Nc1ccccc1 1.0
 CHEMBL453222                                                                                                                                                                                                                                       COCCOc1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)cc1 1.0
 CHEMBL103667                                                                                                                                                                                                                Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1 1.0
 CHEMBL142715                                                                                                                                                                                                                            c1ccc(-c2ccc(COc3ccc4c(c3)CCC(CCN3CCCCC3)C4)cc2)cc1 1.0
 CHEMBL319165                                                                                                                                                                                                                               CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)c1cc2ccccc2[nH]1 1.0
 CHEMBL569720                                                                                                                                                                                                                            Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)c(C#N)nc2C)n[nH]1 1.0
CHEMBL2179291                                                                                                                                                                                                                         COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1 1.0
 CHEMBL384467                                                                                                                                                                                        C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 1.0
 CHEMBL191528                                                                                                                                                                                                                                                          CCOc1ccc2ccc(=O)oc2c1 1.0
 CHEMBL413558                                                                                                                                                                                                                           COc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2C)cc1OC 1.0
 CHEMBL235619                                                                                                                                                                                                                                                        CCCCCc1cc(=O)[nH]c(N)n1 1.0
CHEMBL2003130                                                                                                                                                                                                                                             O=c1[nH]c(-c2ccccc2)nc2cc(Cl)ccc12 1.0
CHEMBL1486187                                                                                                                                                                                                                                              FC(F)(F)c1nnc2ccc(NCc3cccnc3)nn12 1.0
  CHEMBL44793                                                                                                                                                                                                                            O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1 1.0
CHEMBL1762547                                                                                                                                                                                                                      CCN(c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1)c1cc(CO)ccc1C 1.0
CHEMBL1778868                                                                                                                                                                                                                                                 COCCNCc1cncc(-c2ccc(F)cc2OC)n1 1.0
 CHEMBL198750                                                                                                                                                                                                                             O=c1cc(N2CCOCC2)oc2c(-c3cccc4c5c(sc34)CCCC5)cccc12 1.0
CHEMBL2325704                                                                                                                                                                                                                         CS(=O)(=O)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CC1 1.0
CHEMBL1739708                                                                                                                                                                                                                                            COc1ccc(-c2nc(N)s[n+]2-c2ccccc2)cc1 1.0
CHEMBL1165028                                                                                                                                                                                                                                                     O=C(NCCSCc1ccccc1)c1ccccc1 1.0
CHEMBL1916264                                                                                                                                                                                                                         CCC(CC)NC(=O)c1cnn(-c2ccccc2Cl)c1NS(=O)(=O)c1ccc(C)cc1 0.0
CHEMBL1522360                                                                                                                                                                                                                                             O=S(=O)(Nc1cccnc1)c1ccc2c(c1)OCCO2 1.0
   CHEMBL8232                                                                                                                                                                                                                                                         COc1cccc(Oc2cncnc2O)c1 0.0
    CHEMBL888                                                                                                                                                                                                                                Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1 0.0
 CHEMBL341161                                                                                                                                                                                                                                O=C1O[C@@H](COc2ccon2)CN1c1ccc(C2=CCOCC2)c(F)c1 1.0
CHEMBL1705098                                                                                                                                                                                                                                         Cc1ccc(Oc2ccc(OCC(=O)Nc3ccncc3)cc2)cc1 1.0
CHEMBL2035034                                                                                                                                                                                                                                   NC1(c2ccc(-c3c(-c4ccccc4)ncc4nccn34)cc2)CCC1 1.0
 CHEMBL192666                                                                                                                                                                                                                                             O=S(=O)(Nc1cc(F)ccc1F)c1ccc(Cl)cc1 1.0
CHEMBL1951908                                                                                                                                                                                         CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2ccccc2)C2CCN(S(=O)(=O)C(F)(F)F)CC2)CC1 1.0
   CHEMBL1421                                                                                                                                                                                                                        Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1 1.0
CHEMBL2331740                                                                                                                                                                                                 Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(C(=O)O)c(Oc4ccc(Cl)c(Cl)c4)c3)C2)c(=O)[nH]c1=O 0.0
CHEMBL1917438                                                                                                                                                                                                                                Cc1c(Sc2ccc(Cl)cc2)c2c(-c3ccccc3)cccc2n1CC(=O)O 1.0
CHEMBL1783285                                                                                                                                                                                                                             COc1cc(-c2c(F)ccc3c(N)c(C(=O)NC4CC4)nnc23)c(OC)nn1 1.0
CHEMBL1223872                                                                                                                                                                                                   CN(C)C(=O)N[C@H]1CC[C@@H](CCN2[C@H]3CC[C@@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)CC1 0.0
CHEMBL1950848                                                                                                                                                                                                                CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2F)C1)C1CCCCC1 1.0
CHEMBL1949859                                                                                                                                                                                                                                                      O=c1[nH]cnc2cc(F)c(F)cc12 1.0
 CHEMBL428777                                                                                                                                                                                                                  C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C 1.0
CHEMBL2322001                                                                                                                                                                                                                                                     C1=CCC(c2ccc3ccccc3c2)CNC1 1.0
 CHEMBL377309                                                                                                                                                                                                                   CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCCC3)c(Cc3ccccc3C(F)(F)F)sc21 1.0
 CHEMBL244213                                                                                                                                                                                                                                                O=C(c1ccc(F)cc1)C(O)c1ccc(F)cc1 1.0
CHEMBL2070936                                                                                                                                                                                                                    N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3ccc(F)cc3)CC2)CC1 1.0
CHEMBL1831130                                                                                                                                                                                                                                   COc1ccc2nc(C)cc(N3CC(CNC(=O)C4CC4)OC3=O)c2c1 1.0
CHEMBL2178940                                                                                                                                                                                                                   Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](Cc4nnn[nH]4)CC3)cc2)nc1C(N)=O 1.0
CHEMBL2321999                                                                                                                                                                                                                                                   Clc1ccc([C@H]2CC=CCNC2)cc1Cl 1.0
 CHEMBL216105                                                                                                                                                                                                                     CN1CCC(COc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1 1.0
 CHEMBL365903                                                                                                                                                                                                                                           NC(=O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12 1.0
   CHEMBL1191                                                                                                                                                                                                                                                Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1 0.0
CHEMBL2059376                                                                                                                                                                                                               CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(C(=O)NC)c3)cnc2[nH]1 1.0
 CHEMBL113905                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)OCc2ccccn2)c1=O)C(=O)C(F)(F)F 1.0
 CHEMBL426851                                                                                                                                                                                                           CNc1nc2ccccc2n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C 1.0
CHEMBL2030402                                                                                                                                                                                                                                     O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Cl)cc12 1.0
CHEMBL2207225                                                                                                                                                                                                                     COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)Cc1ccnc(F)c1 1.0
CHEMBL1209429                                                                                                                                                                                                                                       O=S(=O)(Cc1ccccc1)NCC(c1ccccc1)N1CCCCCC1 1.0
 CHEMBL224267                                                                                                                                                                                                                     COc1cc(C(=O)Nc2ccc(N3CCOCC3)cc2)nc2c(N3CCN(C)CC3)cc(F)cc12 1.0
  CHEMBL64941                                                                                                                                                                                                                                     Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1 1.0
 CHEMBL244184                                                                                                                                                                                                                                 Cc1cnc(Oc2ccc(-n3ccnc3)cc2)nc1Oc1ccc2c(c1)OCO2 1.0
CHEMBL1951072                                                                                                                                                                                                                                 COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CC2C)cc1NC(C)=O 1.0
 CHEMBL319077                                                                                                                                                                                                                                              c1ccc(-c2ccc(C3CN4CCC3CC4)cc2)cc1 1.0
CHEMBL1917430                                                                                                                                                                                                                               Cc1c(Sc2ccc(Cl)cc2)c2ccc(S(C)(=O)=O)cc2n1CC(=O)O 0.0
CHEMBL2062585                                                                                                                                                                                                                    CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCC(=O)O 0.0
CHEMBL1257698                                                                                                                                                                                                                         NC(=O)c1cccc(O[C@H]2C[C@@H]3CC[C@H](C2)N3CCc2ccccc2)c1 1.0
CHEMBL1289113                                                                                                                                                                                                                                        O=C(COCc1ccncc1)N1CCN(c2ccc(F)cc2Cl)CC1 1.0
CHEMBL1807815                                                                                                                                                                                                                      Nc1nc(OC2CCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O 0.0
 CHEMBL478240                                                                                                                                                                                                                                        CCCCSc1nc(N)c2ncn(Cc3c(F)ccc(C)c3F)c2n1 1.0
  CHEMBL91863                                                                                                                                                                                                                                                       Cc1ccccc1Nc1ncnc2ccccc12 1.0
CHEMBL2062566                                                                                                                                                                                                                             CC(=O)Nc1ccc2c(c1)N(c1cc(NC3CC3)n3ncc(C#N)c3n1)CC2 1.0
  CHEMBL27759                                                                                                                                                                                                                                     Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1 1.0
CHEMBL1730860                                                                                                                                                                                                                                                     Oc1ccc(-c2cnc3ccccc3n2)cc1 1.0
CHEMBL2086688                                                                                                                                                                                                                            C[C@@H]1CN(C(=O)OCC(F)F)CCN1c1ncc(OCc2ccncc2C#N)cn1 1.0
 CHEMBL419951                                                                                                                                                                                                                                       CC(C)n1c2ccccc2c2cc(NC(=O)N3CCOCC3)ccc21 1.0
   CHEMBL1043                                                                                                                                                                                                                                                Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 0.0
CHEMBL2178942                                                                                                                                                                                                                    Cc1nc(C)c(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)c(F)c2)nc1C(N)=O 1.0
CHEMBL1721725                                                                                                                                                                                                                                     Nc1c(-c2ccccc2)c(CN2CCOCC2)nn1-c1ccc(F)cc1 1.0
CHEMBL2031466                                                                                                                                                                                                                           Cc1ccc(C(=O)NC(C)C)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O 1.0
CHEMBL2316381                                                                                                                                                                                                    O=C(NCC1CCOCC1)c1nc(OS(=O)(=O)CCC(F)(F)F)ccc1NC(=O)c1ccc(Cn2ccnn2)c2ccccc12 1.0
 CHEMBL562698                                                                                                                                                                                                                                O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(N2CCNCC2)c1Cl 1.0
  CHEMBL73048                                                                                                                                                                                                                                C[C@@](O)(C(=O)Nc1ccc(S(C)(=O)=O)cc1Cl)C(F)(F)F 1.0
 CHEMBL595134                                                                                                                                                                                                                                     N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13 1.0
 CHEMBL169901                                                                                                                                                                                                                                                           N=C(N)N1CCc2ccccc2C1 0.0
CHEMBL1630120                                                                                                                                                                                                        COCCN1CCN(CC(=O)Nc2ccc(-c3cccn4c(=O)cc(N5CCOCC5)nc34)c3sc4ccccc4c23)CC1 1.0
  CHEMBL99689                                                                                                                                                                                                                                  CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1 1.0
CHEMBL1194608                                                                                                                                                                                                                                                        CN1CC=C(c2cccc(O)c2)CC1 0.0
CHEMBL1682832                                                                                                                                                                                                                                              COC(=O)N1CCOc2cc(COc3ccccc3)cnc21 1.0
CHEMBL1287892                                                                                                                                                                                                                            NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(-c3ccc(F)c(F)c3)sc12 1.0
CHEMBL1870384                                                                                                                                                                                                                                           COc1ccc(C=NN=Cc2ccc(OC)c(OC)c2)cc1OC 1.0
CHEMBL2172782                                                                                                                                                                                                                                           CC(C)Cc1ccc(C(C)C(=O)NS(C)(=O)=O)cc1 0.0
