Drug 1863                                                                                                c1ccc(C2OC2c2ccccc2)cc1 0
Drug 6305                                                                                                 CC(=O)NC(CSCCCl)C(=O)O 1
Drug 6051                                                                                                        O=Nc1ccc(NO)cc1 1
Drug 3260                                                                                                         NC(=O)NCC(=O)O 0
 Drug 270                                                                      O=[N+]([O-])c1cc(-c2ccc(O)c([N+](=O)[O-])c2)ccc1O 0
Drug 1896                                                                                        O=[N+]([O-])c1ccc2cccc3c2c1C=C3 1
Drug 4123                                                                                                  CCOc1ccccc1OCC1CNCCO1 0
Drug 3800                                                                              CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12 1
Drug 3637                                                                                                 c1cnc2c(c1)ccc1cccnc12 0
Drug 4431                                                                                                           C=COC(=O)C=C 0
Drug 4563                                                            N[C@@H](CCC(=O)N[C@@H](CSC(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O 1
 Drug 787                                                                                                          CCCCN(CCC)N=O 1
Drug 5427                                                                                        Cc1c2c(c3ccc4ccccc4c3c1C)CCC2=O 1
Drug 3358                                                                                    CCCCOc1ccc(N=Nc2ccc(N(CC)CC)cc2)cn1 1
Drug 2749                                                                                               O=C1OC(O)C(C(Br)Br)=C1Br 1
Drug 3263                                                                  CC[N+]([O-])(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2 1
Drug 1685                                                                                                 O=C(CCl)c1ccc(Cl)cc1Cl 1
Drug 6672                                                                                                           NC(CS)C(=O)O 1
Drug 3559                                                                                   Cc1ccccc1NC(=O)c1csc([N+](=O)[O-])c1 1
Drug 3295                                                                                               CNC(=O)ON(C(C)=O)C(=O)NC 1
Drug 5113                                                                                           CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1 0
Drug 2918                                                                                                   CC(C)(C#N)C(C)(C)C#N 0
Drug 1278                                                                                                O=[N+]([O-])c1ccc(S)cc1 1
Drug 3201                                                                                          OC1c2ccccc2-c2ccc3ccccc3c2C1O 0
Drug 3916                                                                                                      O=C(Cl)CCc1ccccc1 1
Drug 2308                                                                                                      Cc1cccc(C(=O)O)c1 0
 Drug 675                                                          COC(O)=C1C(C)=NC(COC(N)=O)=C(C(=O)OC(C)C)[C@H]1c1cccc(Cl)c1Cl 0
Drug 6374                                                                                  O=C(c1ccccc1)C1OC1c1ccc(Oc2ccccc2)cc1 0
Drug 4482                                                                                                   O=C(CBr)c1ccc(Br)cc1 0
 Drug 587                                                                                                 O=Nc1ccc(-c2ccccc2)cc1 1
Drug 6373                                                                               CN1C=CN(COCCC(C)(C)[N+](=O)[O-])C1/C=N/O 0
Drug 6371                                                                                                               OCC(O)CO 0
Drug 2808                                                                                                  [O-][n+]1cc2ccncc2cn1 0
Drug 1222                                                                                  OC1c2cc3c4ccccc4c4ccccc4c3cc2C2OC2C1O 1
Drug 3997                                                                                         COc1ccc2c3c([nH]c2c1)C(C)=NCC3 0
Drug 3411                                                                                                  C1=C2c3ccccc3CCC2CCC1 1
Drug 5315                                                       CC1(C)S[C@@H]2[C@@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O 0
Drug 6962                                                                                         CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1 0
Drug 5986                                                          CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C 0
Drug 5847                                                                                                     O=C(O)c1cccc(Cl)c1 0
Drug 1234                                                                                                NC(=O)CN1C[C@H](O)CC1=O 0
Drug 1505                                                                                               NC1=CC(=O)C(=O)c2ccccc21 1
Drug 4795                                                                                                         C=C(C)c1ccccc1 0
Drug 2672                                                                                                            O=CC(Br)CBr 1
Drug 1184                                                                                   CN(C)CCNC(=O)c1ccc2c(N)c3ccccc3nc2c1 0
  Drug 12                                                                                              CC(C)CC(=O)Nc1snc2ccccc12 0
Drug 1186                                                                                        CN(C)C(c1ccccc1)(c1ccccc1)N(C)C 0
 Drug 801                                                                                               Cc1ccc(C)c2c1c1ccccc1n2C 1
Drug 6625                                                                    O=C1c2c3c(O)ccc4c3c(c3c(O)ccc(c23)C2OC12)C(O)C1OC41 1
Drug 5972                                                                                  c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C2NC12 1
Drug 2292                                                                                   CC(=O)OC1C(=O)OC2C(OC(C)=O)C(=O)OC12 0
Drug 3831                                                                                             CCCC[C@@H](CC)COC[C@H]1CO1 1
Drug 1748                                                 CC(C)(C)C1=CC(=CC=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)C=C(C(C)(C)C)C1=O 0
 Drug 680                                                        O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1 0
Drug 1587                                                                                                      C=CC(=O)OC(C)(C)C 0
 Drug 785                                                                                  CC(=O)c1cc(Cc2ccc(N)c(C(C)=O)c2)ccc1N 1
Drug 3623                                                                                      Cc1ccc2cc3ccc4cccc5ccc(c2c1)c3c45 1
Drug 3817                                                                                                  c1ccc(COCc2ccccc2)cc1 0
Drug 1086                                                                                      CC(CC1=C(C=O)COC1O)C1=CCC(C)(C)C1 0
Drug 1428                                                                            CC[C@@H](C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 5299                                                                                                        O=Cc1ccc(Cl)cc1 0
Drug 4271                                                                                                              Oc1ccccc1 0
 Drug 670                                                                                            Cc1c2ccccc2cc2ccc3ccccc3c12 1
Drug 2630                                                                 O=[N+]([O-])c1cc(Cl)c(N=Nc2ccc(N(CCO)CCO)cc2Cl)c(Cl)c1 1
Drug 5378                                                                                                        Nc1ccccc1C(=O)O 0
Drug 4530                                                                                                   CC1=C(O)C(=O)C(O)CO1 1
Drug 2241                                                                                                         CCCCN(CCO)CCCC 0
Drug 3311                                                                                                               COCCOCCO 0
Drug 4200                                                                                          O=C(O)Cc1ccc([N+](=O)[O-])cc1 1
Drug 6800                                                                                           O=[N+]([O-])c1ccc2c(O)nsc2c1 1
Drug 2096                                                                                                         CN1CCCN(C)C1=O 0
 Drug 234                                                                                  OC1c2ccc3cc4ccc5ccccc5c4nc3c2C2OC2C1O 1
Drug 5198                                                                                                         CC1CCN(N=O)CC1 1
Drug 4473                                                                           CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1 1
Drug 6651                                                                                           c1ccc2c(c1)-c1cccc3cccc-2c13 1
Drug 3740                                                                                   CCN(CC)C(=O)/C(Cl)=C(/C)OP(=O)(OC)OC 1
Drug 5529                                                                      CC1CC2(OC2C)C(=O)OC2CCN(C)CC=C(COC(=O)C1(C)O)C2=O 1
Drug 7012                                                                                  C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12 0
Drug 5112                                                                                                     Cl/C=C(\Cl)C(Cl)Cl 1
Drug 1804                                                                                                Clc1ccc2c(c1)oc1ccccc12 1
 Drug 584                                                                                                         Nc1ccc(Cl)cc1N 1
Drug 1100                                                                    COc1ccc(-c2nc(-c3ccc(C)cc3C)[nH]c2-c2ccc(OC)cc2)cc1 1
Drug 5764                                                                                                                  CCC#N 0
Drug 1474                                                                                           Nc1cc([N+](=O)[O-])c(N)cc1Cl 1
Drug 1887                                                                                                        Cc1ccc(C)c(C)c1 0
Drug 3099                                                                                                        C=C(Cl)C(Cl)CCl 1
Drug 2817                                                                         CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C 0
Drug 1427                                                                                                        C=CCOC[C@H]1CO1 1
Drug 5624                                                                                         Cc1cc2c(c3ccc4ccccc4c13)CCC2=O 1
Drug 3093                                                                                            COC(=O)C1=C(C)C(C(C)C)OC1=O 1
 Drug 648                                                                                                Oc1cc(Cl)c(Cl)c(Cl)c1Cl 0
Drug 1274                                                                                                   NC(=O)N(CCC(=O)O)N=O 1
Drug 6691                                                                               c1ccc2c(c1)-c1c(c3ccccc3c3ccccc13)C1OC21 1
Drug 5563                                                                                      CCCCC(CC)COC(=O)c1ccc(N(C)N=O)cc1 0
Drug 5266                                                                                   CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2 0
Drug 2571                                                                                    O=Nc1ccc2ccc3c4c(cc5ccc1c2c53)CCCC4 1
Drug 1549                                                                                                      C1COCCOCCOCCOCCO1 0
Drug 5280                                                                                        Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1 0
Drug 4099                                                                                               C/C(C(=O)O)=C(/Cl)C(=O)O 0
 Drug 370                                                                                          C=CC(=O)OCCOCCOCCOCCOC(=O)C=C 0
Drug 2654                                                                                                       COc1nncc2ncccc12 0
Drug 6553                                                                                                                CC(O)CO 0
Drug 2791                                                             C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@@H](O)CC2CC(=O)NC(=O)C2)C1 0
Drug 7167                                                                               O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12 0
Drug 4576                                                                                                      c1ccc(CCC2CO2)cc1 1
Drug 7563                                                                   CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C2c1ccccc1C(=O)O 1
Drug 3653                                                                                                   O=[N+]([O-])c1ccccc1 0
 Drug 383                                                                                    CC(=O)OC1Cc2ccc3ccc4cccc5cc1c2c3c45 1
Drug 1123                                                                                              COc1c2occc2cc2ccc(=O)oc12 1
Drug 5846                                                                                                             COC(=O)CCl 0
Drug 1183                                                                                           Brc1c(Br)c(Br)c(Br)c(Br)c1Br 0
Drug 2428                                                                                      COC(=O)/C(=C/c1ccco1)[N+](=O)[O-] 0
Drug 2463                                                                                        Cc1cc2cc3ccccc3c3ccc4cccc1c4c23 1
 Drug 606                                                                        CC(=O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
Drug 2718                                                                                   O=C1c2ccccc2-c2ccc([N+](=O)[O-])cc21 1
Drug 4772                                                                                   Cc1ccc(N)cc1N=[N+]([O-])c1cc(N)ccc1C 1
Drug 6321                                                                                      Cc1ccccc1NS(=O)(=O)c1cccc2cccnc12 0
Drug 1391                                                                                                            COc1ccccc1O 0
 Drug 267                                                                                                         c1ccc2cnncc2c1 0
Drug 6887                                                                                                       Cc1ccc(N(C)C)cc1 1
Drug 5255                                                                                 NC(CSc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl)C(=O)O 0
Drug 7593                                                                                                  CCOP(=S)(CC)Sc1ccccc1 0
Drug 4976                                                                                                    c1ccc(-c2cccnc2)nc1 1
Drug 6764                                                                              CCC(C)COC(=O)C=Cc1ccc(N=Cc2ccc(OC)cc2)cc1 1
Drug 5495                                                                                                         C=CCCCCCCCCCCC 0
Drug 2104                                                                         COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C(O2)OC2OC21 1
Drug 3067                                                                                                               OCCN1CC1 1
Drug 4054                                                                                      CC(=O)c1oc([N+](=O)[O-])c(Cl)c1Cl 1
Drug 4668                                                                                 c1cc2cc3c4c(ccc5cc6c(c1CCC6)c2c54)CCC3 1
Drug 3086                                                             O=C1c2ccc3nc(-c4ccccc4)sc3c2C(=O)c2ccc3nc(-c4ccccc4)sc3c21 0
Drug 3522                                                                                             O=C(O)c1ccccc1[N+](=O)[O-] 1
Drug 5313                                                                                                   Clc1cc(Cl)c(Cl)cc1Cl 0
Drug 4026                                                                                     CCCCCCCCCCCCCOC(=O)C[N+](CC)(CC)CC 0
  Drug 71                                                                                    Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C 0
Drug 4733                                                                                       CCCCC/C=C/C(=O)CCc1ccc(O)c(OC)c1 1
Drug 3451                                                                                                 CC(Cl)(Cl)[N+](=O)[O-] 1
Drug 6914                                                                                                   N=P(O)(O)N(CCCl)CCCl 1
Drug 6494                                                                   CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1 0
Drug 4534                                                                                    O=c1c(Cl)c(Cl)cnn1S(=O)(=O)c1ccccc1 0
Drug 2959                                                                                    COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1 0
Drug 5014                                                                                                      Cl/C=C(/Cl)COCCCl 1
Drug 6749                                                                                                        C=CC(=O)OCC1CO1 1
 Drug 820                                                                                                CCCCCCCCCCCCCC[C@H]1CO1 0
Drug 2947                                                                                                              CNCC(=O)O 0
Drug 1819                                                                                                    Nc1ccc(Cl)c(Cl)c1Cl 0
Drug 1080                                                                                    c1ccc(CN2C3c4ccccc4-c4ccccc4C32)cc1 1
Drug 1923                                                                                                            CCOC(=O)CCl 0
Drug 3655                                                                                             NC(CSC(F)(F)C(Cl)Br)C(=O)O 1
 Drug 138                                                                                   CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C 0
Drug 6916                                                                              COC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-] 1
Drug 5320                                                                                             CC1(C)O[C@]2(C)CC[C@H]1CC2 0
Drug 4465                                                                                               CN1CCC=C2c3nc(N)sc3CCC21 1
Drug 5504                                                                                            Cc1cc2cc3ccccc3cc2c2ccccc12 1
Drug 5218                                                              CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCCO)c(I)c(C(=O)NCC(O)CO)c1I 0
 Drug 164                                                                                                  Clc1cccc2oc3ccccc3c12 0
 Drug 409                                                                                           O=C(Nc1ccccc1)Nc1snc2ccccc12 0
Drug 5094                                                                                                   CC(=O)Oc1ccc(CCl)cc1 1
Drug 3138                                                                                                         Cc1ccc(NO)cc1C 1
 Drug 967                                                                      O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 1816                                                                                            CNC(=O)Oc1cccc2c1OC(C)(C)C2 0
Drug 4481                                                                                     Cc1cc(N(CCO)CCO)ccc1N=Nc1ccc(N)cc1 0
Drug 1241                                                                                    CC(=O)Nc1ccc(/C=C/C(=O)c2ccccc2)cc1 1
Drug 5581                                                                                     CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1 1
 Drug 938                                                                                                              CCCCCON=O 1
Drug 2983                                                                                      O=[N+]([O-])c1ccc2c3c(cccc13)C=C2 1
Drug 5754                                                                            O=C(Cl)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 6594                                                                                               CCOC(=O)C1OC1(C)c1ccccc1 0
Drug 2854                                                                                   CCCCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
 Drug 523                                                                                 CS(=O)(=O)OC1CN(C(c2ccccc2)c2ccccc2)C1 1
Drug 6369                                                                                   CCCCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 1469                                                                                                CC(C)(C#N)N=NC(C)(C)C#N 0
Drug 6405                                                                                    O=C(c1ccccc1)[C@H]1O[C@@H]1c1ccccc1 1
 Drug 617                                                                         COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)ccc1O 1
Drug 3040                                                                                                       COC(C)(C)CC(C)=O 0
Drug 6169                               CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@H]12 0
Drug 7050                                                                                             CCCCCCCCCC=CCC1CC(=O)OC1=O 0
Drug 4496                                                                                                                OCCOCCO 0
Drug 6085                                                                         CN=C1C=CC(=C(c2ccc(NC)cc2)c2ccc(N(C)C)cc2)C=C1 0
Drug 2975                                                                                   c1ccc2c(c1)ccc1[nH]c3ccc4ccccc4c3c12 1
Drug 6407                                                                                      C[C@@H]1CCCC[C@H]1NC(=O)Nc1ccccc1 0
Drug 1494                                                                                                  Cc1ccccc1-c1ccc(N)cc1 1
Drug 5571                                                               O=c1c2ccc3c4c(ccc(c24)c2nc4ccccc4n12)c(=O)n1c2ccccc2nc31 1
 Drug 936                                                                                           CC(=O)NCC(O)COc1cccc2ccccc12 0
Drug 3766                                                                                    O=Cc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O 0
 Drug 309                                                                                       CCOc1ccc(NC(C)=O)cc1[N+](=O)[O-] 1
Drug 2363                                                                          COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)C1CCOC1O4 0
Drug 2384                                                                        CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C 0
 Drug 359                                                                                   O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl 0
 Drug 594                                                                                                COC(=O)C(C)CN=[N+]=[N-] 1
Drug 1389                                                                                                  CCCCCCCCCCCCCCCC(=O)O 0
Drug 5961                                                                   O=[N+]([O-])c1cc([N+](=O)[O-])c2cccc3c2c1-c1ccccc1-3 1
Drug 1998                                                                                         CC(C)[C@H]1CC[C@H](C)C[C@@H]1O 0
Drug 4742                                                                               NC(CCC(=O)NC(CSCCCl)NC(=O)CC(=O)O)C(=O)O 1
Drug 1610                                                         O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-] 1
 Drug 679                                                                                             Cc1c(N)cnc2c1nc1c(C)cccn12 1
Drug 4225                                                                               CC(C)(C)OC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 7150                                                                                  Clc1ccc2c(c1)C(c1ccccc1)=NC=C1NN=CN12 0
Drug 3678                                                                                          Cc1ccc2c(c1)C(=O)c1ccccc1C2=O 0
Drug 1386                                                                       O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1 1
Drug 2753                                                                                                              C/C=C\C=O 1
Drug 7392                                                                                             CC1CCc2c1ccc1c2ccc2ccccc21 1
Drug 3280                                                                      Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 1891                                                                                            Nc1ccc(-c2ccc(N)c(N)c2)cc1N 1
Drug 5730                COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 0
Drug 5191                                                                                     Cc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 4170                                                                                                            CS(C)(=O)=O 0
Drug 1983                                                                                       CN(C)c1ccc(N=Nc2cccc3ccccc23)cc1 1
Drug 2768                                                                                                     CCCN(CCCC(=O)O)N=O 1
Drug 4335                                                                           COc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1 1
Drug 2373                                                                                        CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC 0
Drug 1567                                                                                                         CN=[N+](C)[O-] 1
Drug 6184                                                                                                           Nc1cccc(O)c1 1
Drug 5210                                                                             CC1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3 0
Drug 4038                                                                                 CCCCCOc1cccc(NC(=O)OC2CCCCC2N2CCCC2)c1 0
Drug 7244                                                                                                          CCN(CC)C(=S)S 0
Drug 5160                                                                                                              C=CCNCC=C 0
Drug 3230                                                                                          CN(C)CCCNc1c2ccccc2nc2ccccc12 1
Drug 5040                                                                                                  [O-][n+]1cc2cccnc2cn1 0
 Drug 317                                                                                             Cc1cnc2c(ccc3c2nc(N)n3C)n1 1
Drug 6028                                                                          CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1 0
Drug 3621                                                  CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21 0
Drug 4441                                                                               O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3ccccc23)cc1 0
Drug 4661                                                                                                        ClC(Cl)=C(Cl)Cl 0
Drug 6890                                                                                                OP1(N(CCCl)CCCl)=NCCCO1 1
Drug 3533                                                                                          c1ccc(P(c2ccccc2)c2ccccc2)cc1 0
Drug 5821                                                                                                     CC(=O)OCN(CCCl)N=O 1
Drug 5770                                                                                             c1ccc2c(c1)C1OOC2c2ccccc21 0
Drug 5130                                                                                                   C/C=C/c1ccc(OC)cc1OC 0
 Drug 431                                                                                  CN(C)CCNC(=O)c1cccc2oc(-c3ccccc3)nc12 0
Drug 2109                                                                                        Cc1cccc2c1cc1ccc3cccc4ccc2c1c34 1
Drug 5289                                 CC(=O)OC1C(OC23C=C(C)C4(CC4)C(C)(O)C2C(=O)C(C)(C)C3)OC(CO)C(OC(=O)/C=C/c2ccc(O)cc2)C1O 1
Drug 3082                                                                                               Nc1ccc(-c2ccc(Cl)cc2)cc1 1
Drug 2919                                                                                             Cc1ccc([N+](=O)[O-])c(C)c1 1
Drug 5852                                                                                                      O=Cc1ccc(Cl)cc1Cl 0
Drug 2114                                                                                                  Cc1cc(Cl)ccc1OCC(=O)O 0
Drug 5653                                                                                            CC(O)C(O)C(O)C(O)C1SCCN1N=O 0
Drug 4949                                                                        CCC(=O)/N=c1\sn(C(=O)CC)c2ccc([N+](=O)[O-])cc12 1
 Drug 542                                                                                          COC(=O)c1cc2ccc3cccnc3c2[nH]1 0
Drug 4968                                                                              Cn1c([N+](=O)[O-])cnc1[C@H]1NC(CO)(CO)CO1 1
Drug 3180                                                                                     Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1 0
Drug 2464                                                                                                           CCOc1ccccc1N 0
Drug 3213                                                                                CC1=C2C(=CC(C)(C)C2O)C(=O)C(C)(O)C12CC2 1
Drug 5171                                                               CC1(C)S[C@@H]2[C@@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O 0
Drug 2230                                                                                                  O=c1ccc2ccc3occc3c2o1 0
Drug 4462                                                                                                  OC1c2ccccc2Oc2ccccc21 1
Drug 1282                                                                                                          C=C(Br)C(=O)O 0
Drug 1231                                                                                                      C=C[C@@H]1CC=CCC1 0
Drug 2793                                                                                                  Nc1cc(C(F)(F)F)ccc1Cl 0
Drug 6015                                                                                                             O=Cc1ccco1 1
 Drug 104                                                                                                             Cc1ccccc1N 1
Drug 4097                                                                                           COc1ccc2cc(C(C)C(=O)O)ccc2c1 0
Drug 6079                                                                                                             CC/C=C/C=O 1
Drug 2867                                                                       CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12 1
Drug 5526                                                                                                          CC1(C2CO2)CO1 1
Drug 5477                                                                                       [N-]=[N+]=NCCC(c1ccccc1)c1ccccc1 1
 Drug 588                                                                                                        C=CCN(CC=C)CC=C 0
Drug 1546                                                                                                               C1CNCCN1 0
Drug 6132                                                                          CC1=C2C(=CO[C@H](C)[C@H]2C)C(O)=C(C(=O)O)C1=O 0
Drug 1880                                                                                                       CCc1ccnc2ccccc12 0
Drug 1959                                                                                                     C1N2CN3CN1CN(C2)C3 1
Drug 1791                                                              COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12 0
Drug 5117                                                                                     CC(=O)OCc1c2ccccc2cc2c1ccc1ccccc12 1
  Drug 58                                        Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O 0
Drug 3725                                                                                                    Oc1ccccc1-c1ccccc1O 0
Drug 5408                                                                  CC(/C=C(\C#N)c1ccc(F)cc1)C(c1ccccc1)C(C#N)c1ccc(F)cc1 0
Drug 3505                                                                                                      Nc1cc(Cl)cc(Cl)c1 0
Drug 6055                                                                                          O=[N+]([O-])c1c(O)ccc2ccccc12 1
Drug 3726                                                                                                      COc1ccc(C=O)cc1OC 0
Drug 5003                                                                                                 O=NN(c1ccccc1)c1ccccc1 0
Drug 6635                                                                                                            CCCCOCC1CO1 1
Drug 1516                                                                                              CC[n+]1c2ccccc2nc2ccccc21 1
Drug 3419                                                                                                  Cc1ccc([C@@H]2CO2)cc1 1
Drug 4985                                                                                                           CN1CCN(C)CC1 0
Drug 5963                                                  COC1=C(N)C(=O)c2nc(-c3nc(C(=O)O)c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O 1
Drug 5440                                                                                O=NN(CCc1c[nH]c2ccccc12)C1OCC(O)C(O)C1O 1
Drug 5632                                                                     CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1 0
Drug 6044                                                                                                  O=C1OCC(C(Br)Br)=C1Br 1
Drug 1348                                                                                       CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 3756                                                                                            Cc1c2ccccc2nc2c1ccc1ccccc12 1
Drug 1797                                                                                      O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1 0
Drug 3525                                                                    Cc1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C 0
Drug 2167                                O=C(/N=c1\sn(C(=O)c2ccc([N+](=O)[O-])cc2)c2ccc([N+](=O)[O-])cc12)c1ccc([N+](=O)[O-])cc1 1
Drug 4580                    C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3 0
Drug 1134                                                                                                       Cc1cc(C)c(N)cc1C 1
 Drug 966                                                                                                                   OCCS 0
Drug 6629                                                                                                 [O-][N+]([O-])=C1CCCC1 1
Drug 3812                                                                             O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12 1
Drug 7206                                                                             CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O 0
Drug 4677                                                                                               Nc1ccc2cc3ccc(N)cc3nc2c1 1
Drug 3639                                                                                                                C/C=C/C 0
Drug 6869                                                                                             COP(=O)(OC)C(O)C(Cl)(Cl)Cl 1
 Drug 220                                                                                                       Clc1ccnc2ccccc12 1
Drug 4605                                                                                    CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1 0
